ID_POLIGONO,fecha_captura,sensor,ndvi_promedio,ndvi_std,ndvi_max,ndvi_min,evi_promedio,evi_std,evi_max,evi_min,lai_promedio,lai_std,lai_max,lai_min,msavi_promedio,msavi_std,msavi_max,msavi_min,porcentaje_nubosidad
AGC_056,05/02/2025,Planet,0.3,0.042,0.553,0.175,0.138,0.022,0.251,0.068,1.049,0.182,2.144,0.586,0.135,0.022,0.244,0.066,0
AGC_056,08/02/2025,Planet,0.204,0.043,0.529,0.125,0.11,0.018,0.209,0.074,0.697,0.167,1.888,0.247,0.11,0.018,0.207,0.072,0
AGC_056,07/02/2025,Planet,0.241,0.043,0.534,0.154,0.134,0.018,0.224,0.098,0.826,0.159,1.858,0.404,0.135,0.018,0.23,0.098,0
AGC_056,09/02/2025,Planet,0.246,0.039,0.536,0.153,0.142,0.018,0.243,0.098,0.818,0.159,1.849,0.399,0.141,0.018,0.237,0.095,0
AGC_056,30/01/2025,Planet,0.211,0.046,0.533,0.113,0.11,0.02,0.229,0.069,0.724,0.187,1.955,0.277,0.111,0.021,0.23,0.067,0
AGC_056,02/02/2025,Planet,0.271,0.044,0.535,0.183,0.131,0.025,0.263,0.085,0.939,0.168,1.946,0.528,0.126,0.024,0.248,0.082,0
AGC_056,04/02/2025,Planet,0.255,0.043,0.536,0.165,0.119,0.022,0.24,0.078,0.971,0.178,2.11,0.505,0.113,0.021,0.227,0.076,0
AGC_056,03/02/2025,Planet,0.268,0.054,0.518,0.078,0.082,0.04,0.239,0.012,0.998,0.22,2.056,-0.011,0.076,0.039,0.229,0.011,80.034
AGC_056,02/08/2025,Planet,0.433,0.051,0.686,0.269,0.302,0.041,0.488,0.187,1.492,0.175,2.334,1,0.292,0.039,0.488,0.185,0
AGC_056,17/02/2025,Planet,0.224,0.034,0.447,0.15,0.128,0.016,0.208,0.089,0.625,0.138,1.401,0.247,0.126,0.016,0.201,0.088,0
AGC_056,16/02/2025,Planet,0.205,0.022,0.338,0.146,0.163,0.015,0.247,0.124,0.647,0.084,1.035,0.36,0.142,0.013,0.208,0.109,0
AGC_056,10/02/2025,Planet,0.244,0.038,0.511,0.163,0.144,0.017,0.253,0.102,0.812,0.142,1.77,0.458,0.144,0.017,0.253,0.102,0
AGC_056,13/02/2025,Planet,0.22,0.046,0.532,0.132,0.121,0.02,0.243,0.082,0.743,0.188,2.022,0.362,0.119,0.019,0.233,0.08,0
AGC_056,12/02/2025,Planet,0.256,0.041,0.526,0.168,0.148,0.018,0.242,0.105,0.903,0.159,2.076,0.438,0.15,0.018,0.245,0.108,0
AGC_056,15/02/2025,Planet,0.193,0.021,0.283,0.149,0.149,0.016,0.211,0.111,0.648,0.098,1.124,0.374,0.125,0.012,0.17,0.095,73.918
AGC_056,14/02/2025,Planet,0.214,0.033,0.428,0.145,0.145,0.018,0.24,0.095,0.798,0.126,1.645,0.483,0.136,0.016,0.218,0.091,0
AGC_056,24/11/2025,Planet,0.344,0.049,0.586,0.194,0.186,0.025,0.308,0.115,1.13,0.153,1.99,0.584,0.19,0.026,0.314,0.11,0
AGC_056,22/11/2025,Planet,0.333,0.053,0.586,0.167,0.18,0.027,0.321,0.098,1.119,0.165,1.987,0.56,0.182,0.028,0.318,0.092,0
AGC_056,20/11/2025,Planet,0.38,0.043,0.614,0.27,0.201,0.021,0.283,0.15,1.262,0.135,2.008,0.855,0.217,0.024,0.301,0.158,0
AGC_056,21/05/2025,Planet,0.2,0.036,0.46,0.116,0.136,0.019,0.246,0.089,0.66,0.148,1.637,0.262,0.134,0.018,0.248,0.086,0
AGC_056,26/11/2025,Planet,0.329,0.051,0.606,0.147,0.184,0.027,0.317,0.094,1.002,0.164,1.878,0.438,0.188,0.028,0.322,0.088,0
AGC_056,25/11/2025,Planet,0.352,0.053,0.64,0.198,0.185,0.026,0.317,0.116,1.185,0.168,2.121,0.616,0.194,0.028,0.327,0.113,0
AGC_056,12/05/2025,Planet,0.208,0.031,0.44,0.129,0.143,0.017,0.247,0.09,0.693,0.125,1.422,0.365,0.142,0.016,0.245,0.089,0
AGC_056,17/05/2025,Planet,0.162,0.029,0.397,0.093,0.109,0.016,0.211,0.063,0.586,0.116,1.383,0.28,0.104,0.015,0.202,0.062,0
AGC_056,18/05/2025,Planet,0.217,0.027,0.41,0.15,0.149,0.017,0.231,0.08,0.784,0.115,1.549,0.425,0.144,0.016,0.219,0.076,0
AGC_056,15/05/2025,Planet,0.185,0.027,0.367,0.114,0.129,0.015,0.209,0.082,0.648,0.116,1.423,0.314,0.12,0.014,0.198,0.076,0
AGC_056,16/05/2025,Planet,0.211,0.03,0.441,0.139,0.139,0.015,0.233,0.095,0.729,0.133,1.568,0.343,0.138,0.014,0.227,0.098,0
AGC_056,13/11/2025,Planet,0.369,0.052,0.635,0.223,0.198,0.027,0.315,0.127,1.218,0.15,2.094,0.743,0.204,0.029,0.324,0.126,0
AGC_056,19/11/2025,Planet,0.348,0.044,0.57,0.213,0.197,0.025,0.314,0.129,1.163,0.135,1.933,0.686,0.201,0.025,0.311,0.127,0
AGC_056,16/11/2025,Planet,0.351,0.047,0.593,0.216,0.187,0.024,0.284,0.122,1.143,0.142,1.935,0.687,0.191,0.025,0.288,0.119,0
AGC_056,14/11/2025,Planet,0.355,0.048,0.615,0.223,0.202,0.027,0.322,0.133,1.184,0.147,2.001,0.727,0.204,0.028,0.321,0.129,0
AGC_056,24/05/2025,Planet,0.188,0.028,0.408,0.12,0.155,0.021,0.284,0.098,0.668,0.128,1.558,0.335,0.144,0.019,0.255,0.094,0
