ID_POLIGONO,AREA_HA,RENDIMIENTO_T_HA,CONJUNTO,
AGC_001,7.61,3.5,ENTRENAMIENTO,
AGC_002,2.31,4.63,ENTRENAMIENTO,
AGC_003,18.68,,PREDICCION,
AGC_004,8,3,ENTRENAMIENTO,
AGC_005,2.27,5.16,ENTRENAMIENTO,
AGC_006,3.84,4.49,ENTRENAMIENTO,
AGC_007,2.87,3.5,ENTRENAMIENTO,
AGC_008,10.77,4.55,ENTRENAMIENTO,
AGC_009,0.38,4.79,ENTRENAMIENTO,
AGC_010,7.27,4.1,ENTRENAMIENTO,
AGC_011,7.17,,PREDICCION,
AGC_012,4.08,4.69,ENTRENAMIENTO,
AGC_013,5.6,4.01,ENTRENAMIENTO,
AGC_014,7.44,4.83,ENTRENAMIENTO,
AGC_015,1.97,2.64,ENTRENAMIENTO,
AGC_016,7.47,,PREDICCION,
AGC_017,1.6,4.98,ENTRENAMIENTO,
AGC_018,1.67,4.49,ENTRENAMIENTO,
AGC_019,5.65,3,ENTRENAMIENTO,
AGC_020,8.34,3.5,ENTRENAMIENTO,
AGC_021,2.86,4.94,ENTRENAMIENTO,
AGC_022,11.99,4.55,ENTRENAMIENTO,
AGC_023,7.72,3,ENTRENAMIENTO,
AGC_024,11.53,3.03,ENTRENAMIENTO,
AGC_025,2,,PREDICCION,
AGC_026,5.49,3.55,ENTRENAMIENTO,
AGC_027,8.46,,PREDICCION,
AGC_028,1.86,,PREDICCION,
AGC_029,5.9,,PREDICCION,
AGC_030,13.05,,PREDICCION,
AGC_031,1.98,,PREDICCION,
AGC_032,1.44,4.03,ENTRENAMIENTO,
AGC_033,21.04,4.47,ENTRENAMIENTO,
AGC_034,8.09,2,ENTRENAMIENTO,
AGC_035,23.8,4.68,ENTRENAMIENTO,
AGC_036,5,,PREDICCION,
AGC_037,2.66,3.5,ENTRENAMIENTO,
AGC_038,3.28,3.3,ENTRENAMIENTO,
AGC_039,7.71,,PREDICCION,
AGC_040,5.46,3,ENTRENAMIENTO,
AGC_041,25.13,2.5,ENTRENAMIENTO,
