anio,mes,archivo,dias_esperados,dias_encontrados,filas,columnas,resolucion_grados,crs,unidad,nodata,min_mm_mes,max_mm_mes,media_mm_mes_region
2022,1,Precipitacion_mensual/2022/PREC_2022_01.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,131.2021942138672,21.53754997253418
2022,2,Precipitacion_mensual/2022/PREC_2022_02.tif,28,28,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,106.72933959960938,12.222431182861328
2022,3,Precipitacion_mensual/2022/PREC_2022_03.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,40.77437210083008,7.704464435577393
2022,4,Precipitacion_mensual/2022/PREC_2022_04.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,4.333226203918457,214.36935424804688,32.93718338012695
2022,5,Precipitacion_mensual/2022/PREC_2022_05.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,6.922159194946289,90.13028717041016,22.6361141204834
2022,6,Precipitacion_mensual/2022/PREC_2022_06.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,13.837121963500977,647.7845458984375,97.70498657226562
2022,7,Precipitacion_mensual/2022/PREC_2022_07.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,6.968578815460205,543.4766845703125,90.48448181152344
2022,8,Precipitacion_mensual/2022/PREC_2022_08.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,22.636245727539062,532.6222534179688,130.8413543701172
2022,9,Precipitacion_mensual/2022/PREC_2022_09.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,12.330561637878418,803.7566528320312,180.5016326904297
2022,10,Precipitacion_mensual/2022/PREC_2022_10.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,12.71638298034668,561.8321533203125,98.97989654541016
2022,11,Precipitacion_mensual/2022/PREC_2022_11.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,133.0717010498047,30.30332374572754
2022,12,Precipitacion_mensual/2022/PREC_2022_12.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,169.04891967773438,22.898868560791016
