protocol,outer_fold,meta_model,feature,value_kind,value
fold_state_stratified,1,ConvexAll,B01_C0_PLS,convex_weight,1.6614961532554896e-17
fold_state_stratified,1,ConvexAll,B02_C3_Ridge,convex_weight,0.103181167722806
fold_state_stratified,1,ConvexAll,B03_C1_CatBoost,convex_weight,0.043165158371966675
fold_state_stratified,1,ConvexAll,B04_C0_Ridge,convex_weight,0.0
fold_state_stratified,1,ConvexAll,B05_C3_PLS,convex_weight,0.349354397927753
fold_state_stratified,1,ConvexAll,B06_C2_PLS,convex_weight,0.0
fold_state_stratified,1,ConvexAll,B07_C1_ExtraTrees,convex_weight,0.5042992759774743
fold_state_stratified,1,ConvexAll,B08_C1_PLS,convex_weight,2.6514865254887458e-17
fold_state_stratified,1,ConvexAll,B09_C0_PCA_Ridge,convex_weight,0.0
fold_state_stratified,1,ConvexAll,B10_C1_PCA_Ridge,convex_weight,0.0
fold_state_stratified,1,RidgeStack,pred__B01_C0_PLS,coefficient,0.040339544212452706
fold_state_stratified,1,RidgeStack,pred__B02_C3_Ridge,coefficient,0.055701587150037674
fold_state_stratified,1,RidgeStack,pred__B03_C1_CatBoost,coefficient,0.06705141896606275
fold_state_stratified,1,RidgeStack,pred__B04_C0_Ridge,coefficient,0.05463907193389184
fold_state_stratified,1,RidgeStack,pred__B05_C3_PLS,coefficient,0.05437865837757728
fold_state_stratified,1,RidgeStack,pred__B06_C2_PLS,coefficient,0.049267030348375734
fold_state_stratified,1,RidgeStack,pred__B07_C1_ExtraTrees,coefficient,0.07129821228583795
fold_state_stratified,1,RidgeStack,pred__B08_C1_PLS,coefficient,0.04229933232132281
fold_state_stratified,1,RidgeStack,pred__B09_C0_PCA_Ridge,coefficient,0.047510792343458466
fold_state_stratified,1,RidgeStack,pred__B10_C1_PCA_Ridge,coefficient,0.040717650608900056
fold_state_stratified,1,RidgeStack,pred_mean_all,coefficient,0.05328717900399182
fold_state_stratified,1,RidgeStack,pred_std_all,coefficient,-0.008424482752040293
fold_state_stratified,1,RidgeStack,pred_range_all,coefficient,-0.033372146388168676
fold_state_stratified,1,RidgeStack,pred_mean_top3,coefficient,0.055081031066616215
fold_state_stratified,1,RidgeStack,pred_std_top3,coefficient,-0.010840051013002328
fold_state_stratified,1,ElasticNetStack,pred__B01_C0_PLS,coefficient,0.0
fold_state_stratified,1,ElasticNetStack,pred__B02_C3_Ridge,coefficient,0.08173823704207848
fold_state_stratified,1,ElasticNetStack,pred__B03_C1_CatBoost,coefficient,0.10918160835857153
fold_state_stratified,1,ElasticNetStack,pred__B04_C0_Ridge,coefficient,0.0781251064124207
fold_state_stratified,1,ElasticNetStack,pred__B05_C3_PLS,coefficient,0.09149383514213633
fold_state_stratified,1,ElasticNetStack,pred__B06_C2_PLS,coefficient,0.043878602509481966
fold_state_stratified,1,ElasticNetStack,pred__B07_C1_ExtraTrees,coefficient,0.1414606845808477
fold_state_stratified,1,ElasticNetStack,pred__B08_C1_PLS,coefficient,0.0
fold_state_stratified,1,ElasticNetStack,pred__B09_C0_PCA_Ridge,coefficient,0.025227474360596632
fold_state_stratified,1,ElasticNetStack,pred__B10_C1_PCA_Ridge,coefficient,0.0
fold_state_stratified,1,ElasticNetStack,pred_mean_all,coefficient,0.047144418261213517
fold_state_stratified,1,ElasticNetStack,pred_std_all,coefficient,0.0
fold_state_stratified,1,ElasticNetStack,pred_range_all,coefficient,-0.058145262133560034
fold_state_stratified,1,ElasticNetStack,pred_mean_top3,coefficient,0.04930140689207093
fold_state_stratified,1,ElasticNetStack,pred_std_top3,coefficient,-0.0
fold_state_stratified,1,HuberStack,pred__B01_C0_PLS,coefficient,-0.21731592491490012
fold_state_stratified,1,HuberStack,pred__B02_C3_Ridge,coefficient,0.43318740164531455
fold_state_stratified,1,HuberStack,pred__B03_C1_CatBoost,coefficient,0.037000394952834366
fold_state_stratified,1,HuberStack,pred__B04_C0_Ridge,coefficient,0.07016837766652068
fold_state_stratified,1,HuberStack,pred__B05_C3_PLS,coefficient,1.1955081877393652
fold_state_stratified,1,HuberStack,pred__B06_C2_PLS,coefficient,-0.7479009915793422
fold_state_stratified,1,HuberStack,pred__B07_C1_ExtraTrees,coefficient,0.25900693688834936
fold_state_stratified,1,HuberStack,pred__B08_C1_PLS,coefficient,-0.18383837567817188
fold_state_stratified,1,HuberStack,pred__B09_C0_PCA_Ridge,coefficient,-0.12082453719316413
fold_state_stratified,1,HuberStack,pred__B10_C1_PCA_Ridge,coefficient,-0.17772418743894491
fold_state_stratified,1,HuberStack,pred_mean_all,coefficient,0.05464959664611979
fold_state_stratified,1,HuberStack,pred_std_all,coefficient,0.34924768506119575
fold_state_stratified,1,HuberStack,pred_range_all,coefficient,-0.4743593496342881
fold_state_stratified,1,HuberStack,pred_mean_top3,coefficient,0.08102146882593483
fold_state_stratified,1,HuberStack,pred_std_top3,coefficient,0.039892887887682735
fold_state_stratified,1,ExtraTreesStack,pred__B01_C0_PLS,importance,0.05500499439453117
fold_state_stratified,1,ExtraTreesStack,pred__B02_C3_Ridge,importance,0.09095681455771698
fold_state_stratified,1,ExtraTreesStack,pred__B03_C1_CatBoost,importance,0.08689484451495999
fold_state_stratified,1,ExtraTreesStack,pred__B04_C0_Ridge,importance,0.0977007936548731
fold_state_stratified,1,ExtraTreesStack,pred__B05_C3_PLS,importance,0.058043174035186045
fold_state_stratified,1,ExtraTreesStack,pred__B06_C2_PLS,importance,0.05686637187173033
fold_state_stratified,1,ExtraTreesStack,pred__B07_C1_ExtraTrees,importance,0.10316416327909293
fold_state_stratified,1,ExtraTreesStack,pred__B08_C1_PLS,importance,0.06589345911369837
fold_state_stratified,1,ExtraTreesStack,pred__B09_C0_PCA_Ridge,importance,0.07598051616895755
fold_state_stratified,1,ExtraTreesStack,pred__B10_C1_PCA_Ridge,importance,0.07756454554102661
fold_state_stratified,1,ExtraTreesStack,pred_mean_all,importance,0.12642271548858197
fold_state_stratified,1,ExtraTreesStack,pred_std_all,importance,0.001527777761117464
fold_state_stratified,1,ExtraTreesStack,pred_range_all,importance,0.0017904925842851973
fold_state_stratified,1,ExtraTreesStack,pred_mean_top3,importance,0.0984807947795335
fold_state_stratified,1,ExtraTreesStack,pred_std_top3,importance,0.0037085422547087545
fold_state_stratified,2,ConvexAll,B01_C0_PLS,convex_weight,0.364091852505035
fold_state_stratified,2,ConvexAll,B02_C3_Ridge,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B03_C1_CatBoost,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B04_C0_Ridge,convex_weight,4.6183593860051944e-17
fold_state_stratified,2,ConvexAll,B05_C3_PLS,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B06_C2_PLS,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B07_C1_ExtraTrees,convex_weight,0.5406207357643009
fold_state_stratified,2,ConvexAll,B08_C1_PLS,convex_weight,0.0
fold_state_stratified,2,ConvexAll,B09_C0_PCA_Ridge,convex_weight,0.09528741173066403
fold_state_stratified,2,ConvexAll,B10_C1_PCA_Ridge,convex_weight,0.0
fold_state_stratified,2,RidgeStack,pred__B01_C0_PLS,coefficient,-0.6535452318074858
fold_state_stratified,2,RidgeStack,pred__B02_C3_Ridge,coefficient,-1.4794684545637091
fold_state_stratified,2,RidgeStack,pred__B03_C1_CatBoost,coefficient,0.26123231244944595
fold_state_stratified,2,RidgeStack,pred__B04_C0_Ridge,coefficient,1.3762838927413084
fold_state_stratified,2,RidgeStack,pred__B05_C3_PLS,coefficient,5.0198866049070245
fold_state_stratified,2,RidgeStack,pred__B06_C2_PLS,coefficient,-3.8050519488671104
fold_state_stratified,2,RidgeStack,pred__B07_C1_ExtraTrees,coefficient,0.40702370396740895
fold_state_stratified,2,RidgeStack,pred__B08_C1_PLS,coefficient,0.3658741504165467
fold_state_stratified,2,RidgeStack,pred__B09_C0_PCA_Ridge,coefficient,0.22355550504595906
fold_state_stratified,2,RidgeStack,pred__B10_C1_PCA_Ridge,coefficient,-0.4939485605554656
fold_state_stratified,2,RidgeStack,pred_mean_all,coefficient,0.12223343896124479
fold_state_stratified,2,RidgeStack,pred_std_all,coefficient,0.3095084962820359
fold_state_stratified,2,RidgeStack,pred_range_all,coefficient,-0.2309807671445644
fold_state_stratified,2,RidgeStack,pred_mean_top3,coefficient,-0.6438805007035897
fold_state_stratified,2,RidgeStack,pred_std_top3,coefficient,-0.03250288857054136
fold_state_stratified,2,ElasticNetStack,pred__B01_C0_PLS,coefficient,0.0
fold_state_stratified,2,ElasticNetStack,pred__B02_C3_Ridge,coefficient,-0.7518398194196327
fold_state_stratified,2,ElasticNetStack,pred__B03_C1_CatBoost,coefficient,0.020758937890880746
fold_state_stratified,2,ElasticNetStack,pred__B04_C0_Ridge,coefficient,0.5533566061777481
fold_state_stratified,2,ElasticNetStack,pred__B05_C3_PLS,coefficient,2.3679955715769356
fold_state_stratified,2,ElasticNetStack,pred__B06_C2_PLS,coefficient,-2.160146732850069
fold_state_stratified,2,ElasticNetStack,pred__B07_C1_ExtraTrees,coefficient,0.45269498501836086
fold_state_stratified,2,ElasticNetStack,pred__B08_C1_PLS,coefficient,0.43329964318666864
fold_state_stratified,2,ElasticNetStack,pred__B09_C0_PCA_Ridge,coefficient,0.211845252816743
fold_state_stratified,2,ElasticNetStack,pred__B10_C1_PCA_Ridge,coefficient,-0.42318864805455136
fold_state_stratified,2,ElasticNetStack,pred_mean_all,coefficient,0.0
fold_state_stratified,2,ElasticNetStack,pred_std_all,coefficient,0.29696749193034977
fold_state_stratified,2,ElasticNetStack,pred_range_all,coefficient,-0.19940777015569502
fold_state_stratified,2,ElasticNetStack,pred_mean_top3,coefficient,0.0
fold_state_stratified,2,ElasticNetStack,pred_std_top3,coefficient,-0.03918896607413766
fold_state_stratified,2,HuberStack,pred__B01_C0_PLS,coefficient,-0.5346575797910709
fold_state_stratified,2,HuberStack,pred__B02_C3_Ridge,coefficient,-1.399112858323753
fold_state_stratified,2,HuberStack,pred__B03_C1_CatBoost,coefficient,0.25565407131874013
fold_state_stratified,2,HuberStack,pred__B04_C0_Ridge,coefficient,1.2567226399466924
fold_state_stratified,2,HuberStack,pred__B05_C3_PLS,coefficient,4.059789011647711
fold_state_stratified,2,HuberStack,pred__B06_C2_PLS,coefficient,-2.940798305140953
fold_state_stratified,2,HuberStack,pred__B07_C1_ExtraTrees,coefficient,0.4807611007383382
