ID_POLIGONO,fecha_captura,sensor,ndvi_promedio,ndvi_std,ndvi_max,ndvi_min,evi_promedio,evi_std,evi_max,evi_min,crc_promedio,crc_std,crc_max,crc_min,mcrc_promedio,mcrc_std,mcrc_max,mcrc_min,ndsvi_promedio,ndsvi_std,ndsvi_max,ndsvi_min,srndi_promedio,srndi_std,srndi_max,srndi_min,mra_promedio,mra_std,mra_max,mra_min,lai_promedio,lai_std,lai_max,lai_min,fapar_promedio,fapar_std,fapar_max,fapar_min,savi_promedio,savi_std,savi_max,savi_min,vi6t_promedio,vi6t_std,vi6t_max,vi6t_min,ndti_promedio,ndti_std,ndti_max,ndti_min,sti_promedio,sti_std,sti_max,sti_min,ndwi_promedio,ndwi_std,ndwi_max,ndwi_min,endwi_promedio,endwi_std,endwi_max,endwi_min,msi_promedio,msi_std,msi_max,msi_min,emsi_promedio,emsi_std,emsi_max,emsi_min,dswi2_promedio,dswi2_std,dswi2_max,dswi2_min,dswi3_promedio,dswi3_std,dswi3_max,dswi3_min,dswi4_promedio,dswi4_std,dswi4_max,dswi4_min,dswi5_promedio,dswi5_std,dswi5_max,dswi5_min,nddi_promedio,nddi_std,nddi_max,nddi_min,enddi_promedio,enddi_std,enddi_max,enddi_min,porcentaje_nubosidad
AGC_020,05/01/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.631,0.009,-0.603,-0.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_020,11/01/2024,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_020,19/07/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.64,0.009,-0.61,-0.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_020,21/01/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.535,0.018,-0.509,-0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_020,27/04/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.624,0.011,-0.593,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_020,30/07/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.639,0.007,-0.621,-0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_020,30/08/2024,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.644,0.003,-0.631,-0.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_020,31/12/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.619,0.011,-0.578,-0.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_020,01/01/2022,Sentinel-2,0.147,0.038,0.375,0.111,0.096,0.023,0.239,0.072,0.374,0.017,0.47,0.271,0.382,0.022,0.523,0.276,0.297,0.033,0.527,0.187,0.233,0.032,0.411,0.102,0.021,0.0,0.023,0.021,-0.033,0.036,0.195,-0.067,0.084,0.03,0.283,0.042,0.082,0.019,0.196,0.063,,,,,0.069,0.019,0.163,0.043,1.149,0.046,1.389,1.09,-0.158,0.032,0.013,-0.247,-0.09,0.045,0.149,-0.151,1.378,0.086,1.655,0.974,1.202,0.099,1.356,0.741,2.243,0.123,3.19,1.764,1.854,0.161,3.224,1.459,0.826,0.032,1.037,0.771,0.762,0.036,0.995,0.67,0.115,0.017,0.187,0.045,0.153,0.017,0.267,0.091,0.0
AGC_020,04/08/2022,Sentinel-2,0.391,0.069,0.579,0.287,0.335,0.067,0.559,0.238,0.43,0.015,0.468,0.349,0.395,0.019,0.473,0.327,0.388,0.032,0.525,0.326,0.27,0.026,0.37,0.17,0.025,0.001,0.028,0.023,0.362,0.125,0.794,0.191,0.333,0.072,0.503,0.24,0.263,0.046,0.404,0.194,,,,,0.132,0.03,0.218,0.096,1.307,0.083,1.556,1.213,0.006,0.058,0.182,-0.071,0.137,0.083,0.379,0.032,0.995,0.111,1.153,0.692,0.768,0.124,0.938,0.45,2.31,0.102,2.792,1.971,2.278,0.189,3.208,1.966,0.987,0.074,1.226,0.877,1.009,0.106,1.359,0.876,0.101,0.015,0.131,0.052,0.161,0.011,0.214,0.124,0.0
