ID_POLIGONO,fecha_captura,sensor,ndvi_promedio,ndvi_std,ndvi_max,ndvi_min,evi_promedio,evi_std,evi_max,evi_min,lai_promedio,lai_std,lai_max,lai_min,msavi_promedio,msavi_std,msavi_max,msavi_min,porcentaje_nubosidad
AGC_020,01/01/2025,Planet,0.228,0.017,0.359,0.187,0.158,0.01,0.204,0.113,0.75,0.083,1.258,0.501,0.154,0.009,0.202,0.109,0.0
AGC_020,07/04/2025,Planet,0.206,0.035,0.463,0.14,0.13,0.018,0.261,0.086,0.727,0.142,1.747,0.326,0.129,0.017,0.259,0.086,0.0
AGC_020,08/11/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_020,14/09/2025,Planet,0.587,0.045,0.737,0.49,0.422,0.048,0.573,0.306,1.88,0.213,2.735,1.469,0.413,0.045,0.551,0.303,0.0
AGC_020,21/02/2025,Planet,0.209,0.037,0.462,0.151,0.108,0.012,0.193,0.074,0.746,0.142,1.906,0.394,0.108,0.011,0.189,0.074,0.0
AGC_020,21/05/2025,Planet,0.178,0.034,0.43,0.132,0.111,0.015,0.229,0.085,0.6,0.133,1.611,0.342,0.109,0.015,0.225,0.083,0.0
AGC_020,24/07/2025,Planet,0.833,0.053,0.912,0.586,0.697,0.087,0.834,0.385,2.967,0.245,3.332,2.18,0.695,0.087,0.825,0.376,0.0
AGC_020,30/12/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_048,01/01/2025,Planet,0.243,0.027,0.414,0.183,0.13,0.012,0.209,0.099,0.844,0.112,1.511,0.518,0.129,0.012,0.212,0.098,0.0
AGC_048,04/04/2025,Planet,0.238,0.059,0.563,0.095,0.142,0.029,0.311,0.053,0.828,0.241,2.18,0.043,0.142,0.028,0.317,0.053,0.0
AGC_048,06/08/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_048,13/11/2025,Planet,0.346,0.086,0.668,0.202,0.202,0.045,0.414,0.132,1.209,0.284,2.266,0.716,0.206,0.044,0.415,0.136,0.0
AGC_048,18/02/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_048,18/09/2025,Planet,0.727,0.083,0.861,0.42,0.528,0.074,0.697,0.328,2.707,0.371,3.44,1.687,0.514,0.081,0.699,0.323,61.293
AGC_048,23/05/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_048,30/12/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_050,01/01/2025,Planet,0.243,0.019,0.347,0.188,0.165,0.012,0.223,0.123,0.831,0.081,1.235,0.612,0.17,0.013,0.229,0.128,0.0
AGC_050,05/04/2025,Planet,0.21,0.039,0.461,0.152,0.126,0.02,0.225,0.086,0.617,0.144,1.468,0.295,0.126,0.02,0.23,0.085,0.0
AGC_050,08/11/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_050,17/09/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_050,20/05/2025,Planet,0.207,0.031,0.404,0.144,0.141,0.019,0.245,0.096,0.751,0.138,1.574,0.437,0.137,0.018,0.239,0.093,0.0
AGC_050,21/02/2025,Planet,0.21,0.029,0.376,0.151,0.111,0.012,0.175,0.081,0.756,0.126,1.527,0.476,0.111,0.012,0.174,0.081,0.0
AGC_050,26/07/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_050,30/12/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_054,01/01/2025,Planet,0.211,0.02,0.284,0.153,0.106,0.013,0.154,0.072,0.697,0.094,1.047,0.378,0.102,0.013,0.148,0.07,0.0
AGC_054,06/08/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_054,07/04/2025,Planet,0.201,0.026,0.31,0.127,0.13,0.017,0.221,0.08,0.657,0.126,1.172,0.248,0.129,0.017,0.217,0.078,0.0
AGC_054,09/11/2025,Planet,0.291,0.096,0.641,0.167,0.156,0.064,0.391,0.089,0.958,0.364,2.126,0.544,0.151,0.065,0.389,0.087,0.0
