Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,2.0,2.0,0.0,22.0,11.0,9000.0,198000.0
2013,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,101.0,101.0,0.0,1833.0,18.15,5305.34,9724688.22
2013,1,Aguascalientes,1,Aguascalientes,3,Pabellón,6,Pabellón de Arteaga,3,Perennes,1,Riego,200201,Tonelada,5170000,Alfalfa verde,319.0,319.0,0.0,29125.0,91.3,497.37,14485901.25
2013,1,Aguascalientes,1,Aguascalientes,4,Villa Juárez,2,Asientos,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,318.0,318.0,0.0,636.0,2.0,12000.0,7632000.0
2013,2,Baja California,2,Ensenada,2,Tecate,3,Tecate,1,Otoño-Invierno,1,Riego,200201,Tonelada,7110000,Haba verde,10.0,10.0,0.0,136.0,13.6,5950.0,809200.0
2013,2,Baja California,2,Ensenada,3,Ensenada,1,Ensenada,2,Primavera-Verano,1,Riego,200201,Tonelada,9270000,Zanahoria,119.0,115.0,4.0,2326.45,20.23,4592.71,10684710.18
2013,2,Baja California,3,Río Colorado,1,Hechicera,2,Mexicali,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,153.0,153.0,0.0,1263.93,8.26,3388.71,4283092.23
2013,2,Baja California,3,Río Colorado,5,G. Victoria,2,Mexicali,3,Perennes,1,Riego,200201,Tonelada,7550000,Mandarina,15.0,15.0,0.0,225.0,15.0,3600.0,810000.0
2013,3,Baja California Sur,5,Comondú,1,Comondú,1,Comondú,1,Otoño-Invierno,1,Riego,200201,Tonelada,8100000,Papa,1200.0,1016.0,184.0,25806.4,25.4,4217.57,108840298.45
2013,3,Baja California Sur,6,La Paz,1,La Paz,3,La Paz,3,Perennes,1,Riego,200201,Tonelada,8130000,Papaya,10.4,10.4,0.0,330.0,31.73,6760.61,2231001.3
2013,4,Campeche,8,Hecelchakán,3,Hecelchakán,5,Hecelchakán,1,Otoño-Invierno,1,Riego,200201,Tonelada,8710000,Sandía,197.0,197.0,0.0,4925.0,25.0,3107.62,15305028.5
2013,4,Campeche,10,Champotón,1,Ciudad del Sol/Champotón,4,Champotón,3,Perennes,2,Temporal,200201,Tonelada,8030000,Palma africana o de aceite,242.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,5,Coahuila,12,Acuña,1,Jiménez,2,Acuña,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,8.0,8.0,0.0,5.95,0.74,11905.88,70839.99
2013,5,Coahuila,12,Acuña,3,Piedras Negras,22,Nava,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,2735.0,2735.0,0.0,9077.47,3.32,3875.72,35181732.03
2013,5,Coahuila,14,Frontera,1,Monclova,10,Frontera,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,2.0,2.0,0.0,6.0,3.0,4001.0,24006.0
2013,5,Coahuila,14,Frontera,3,Cuatro Ciénegas,7,Cuatro Ciénegas,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,265.21,225.21,0.0,225.21,1.0,40250.0,9064702.5
2013,5,Coahuila,15,Saltillo,3,Parras de La Fuente,24,Parras,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,150.0,150.0,0.0,5133.0,34.22,6538.85,33563917.05
2013,5,Coahuila,192,Laguna-Coahuila,8,Matamoros,17,Matamoros,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),4.0,0.5,3.5,15.0,30.0,1500.0,22500.0
2013,6,Colima,16,Colima,1,Coquimatlán,4,Coquimatlán,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,62.0,62.0,0.0,390.6,6.3,3600.0,1406160.0
2013,6,Colima,16,Colima,2,Comala,5,Cuauhtémoc,3,Perennes,2,Temporal,200201,Tonelada,5710000,Café cereza,250.0,250.0,0.0,250.0,1.0,5000.0,1250000.0
2013,6,Colima,17,Tecomán,1,Armería,9,Tecomán,2,Primavera-Verano,1,Riego,200201,Tonelada,5410000,Arroz palay,245.0,245.0,0.0,1347.0,5.5,4000.0,5388000.0
2013,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,3,Perennes,2,Temporal,200201,Tonelada,7540000,Mamey,10.0,10.0,0.0,38.9,3.89,1950.0,75855.0
2013,7,Chiapas,18,Tuxtla Gutiérrez,3,Cintalapa,17,Cintalapa,3,Perennes,2,Temporal,200201,Tonelada,8880000,Tamarindo,9.0,9.0,0.0,71.1,7.9,2150.0,152865.0
2013,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,111,Zinacantán,3,Perennes,2,Temporal,200201,Tonelada,6220000,Ciruela,47.0,44.0,0.0,259.6,5.9,7617.61,1977531.56
2013,7,Chiapas,20,Comitán,1,Trinitaria,19,Comitán de Domínguez,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,9630.0,9630.0,0.0,21186.0,2.2,3100.0,65676600.0
2013,7,Chiapas,21,Villa Flores,1,Villaflores,108,Villaflores,1,Otoño-Invierno,2,Temporal,200201,Tonelada,8810000,Sorgo grano,12.0,12.0,0.0,24.0,2.0,2900.0,69600.0
2013,7,Chiapas,22,Pichucalco,2,Juárez,74,Reforma,3,Perennes,2,Temporal,200201,Tonelada,5700000,Cacao,25.0,23.0,0.0,8.97,0.39,38500.0,345345.0
2013,7,Chiapas,23,Palenque,1,Palenque,77,Salto de Agua,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,1092.0,1092.0,0.0,524.16,0.48,10000.0,5241600.0
