variable,anio,mes,archivo,filas,columnas,resolucion_grados,crs,unidad,nodata,min_region,max_region,media_region
Tmax,2022,1,Tmax/2022/Tmax_2022_01.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,19.66311454772949,29.675657272338867,23.698543322455023
Tmax,2022,3,Tmax/2022/Tmax_2022_03.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,23.77744483947754,32.403358459472656,27.732240307977627
Tmax,2022,5,Tmax/2022/Tmax_2022_05.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,25.512920379638672,38.56427001953125,30.84976751352308
Tmax,2022,7,Tmax/2022/Tmax_2022_07.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,19.50047874450684,36.38315200805664,27.644849218524985
Tmax,2022,9,Tmax/2022/Tmax_2022_09.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,17.05921745300293,33.082420349121094,25.345300253385496
Tmax,2022,11,Tmax/2022/Tmax_2022_11.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,20.167421340942383,30.81882667541504,25.73934041155341
Tmax,2023,1,Tmax/2023/Tmax_2023_01.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,21.102802276611328,29.61353302001953,25.04170699271318
Tmax,2023,3,Tmax/2023/Tmax_2023_03.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,24.494213104248047,33.16197967529297,28.44217967388609
Tmax,2023,5,Tmax/2023/Tmax_2023_05.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,23.20317268371582,34.83272171020508,28.57724792483889
Tmax,2023,7,Tmax/2023/Tmax_2023_07.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,20.10302734375,37.700477600097656,28.190967321716474
Tmax,2023,9,Tmax/2023/Tmax_2023_09.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,20.45629501342773,39.60450744628906,29.008516661739307
Tmax,2023,11,Tmax/2023/Tmax_2023_11.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,19.999420166015625,30.381303787231445,25.321202883427585
Tmax,2024,1,Tmax/2024/Tmax_2024_01.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,20.971269607543945,30.192611694335938,24.808055221954305
Tmax,2024,3,Tmax/2024/Tmax_2024_03.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,25.64702415466309,34.03437805175781,29.54848146545465
Tmax,2024,5,Tmax/2024/Tmax_2024_05.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,28.33155632019043,41.97311019897461,33.66894957133336
Tmax,2024,7,Tmax/2024/Tmax_2024_07.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,19.57693099975586,35.25704574584961,27.121274382156518
Tmax,2024,9,Tmax/2024/Tmax_2024_09.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,18.926502227783203,35.07224655151367,26.759795321417943
Tmax,2024,11,Tmax/2024/Tmax_2024_11.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,21.395641326904297,32.68118667602539,26.886451106924262
Tmax,2025,1,Tmax/2025/Tmax_2025_01.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,20.29362678527832,29.855484008789062,23.83037102826237
Tmax,2025,3,Tmax/2025/Tmax_2025_03.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,24.917001724243164,36.53345489501953,29.362763194533432
