ID_POLIGONO,fecha_captura,sensor,ndvi_promedio,ndvi_std,ndvi_max,ndvi_min,evi_promedio,evi_std,evi_max,evi_min,lai_promedio,lai_std,lai_max,lai_min,msavi_promedio,msavi_std,msavi_max,msavi_min,porcentaje_nubosidad
AGC_006,01/07/2025,Planet,0.351,0.086,0.595,0.237,0.259,0.083,0.522,0.164,1.016,0.289,1.907,0.539,0.225,0.071,0.45,0.143,0.0
AGC_006,13/01/2025,Planet,0.428,0.032,0.558,0.296,0.256,0.021,0.317,0.165,1.467,0.127,2.037,0.923,0.268,0.023,0.331,0.172,0.0
AGC_006,15/01/2025,Planet,0.451,0.033,0.557,0.309,0.267,0.024,0.328,0.174,1.491,0.116,2.033,1.009,0.277,0.025,0.34,0.176,0.0
AGC_006,19/01/2025,Planet,0.396,0.034,0.487,0.248,0.259,0.025,0.323,0.155,1.364,0.114,1.791,0.814,0.254,0.024,0.318,0.148,0.0
AGC_006,23/12/2025,Planet,0.325,0.032,0.443,0.227,0.203,0.023,0.265,0.13,1.101,0.102,1.429,0.788,0.201,0.023,0.258,0.127,0.0
AGC_006,28/06/2025,Planet,0.302,0.074,0.574,0.19,0.202,0.064,0.435,0.118,1.069,0.254,2.238,0.541,0.18,0.054,0.387,0.106,0.0
AGC_032,01/01/2025,Planet,0.279,0.028,0.427,0.232,0.17,0.015,0.257,0.137,0.951,0.129,1.62,0.658,0.167,0.014,0.254,0.136,0.0
AGC_032,06/11/2025,Planet,0.4,0.059,0.62,0.328,0.219,0.036,0.35,0.173,1.428,0.183,2.082,1.153,0.231,0.035,0.363,0.183,0.0
AGC_032,12/12/2025,Planet,0.25,0.045,0.429,0.119,0.165,0.028,0.258,0.068,0.966,0.142,1.463,0.695,0.168,0.028,0.26,0.066,0.0
AGC_032,18/05/2025,Planet,0.216,0.03,0.388,0.143,0.146,0.018,0.239,0.096,0.787,0.143,1.545,0.353,0.142,0.017,0.23,0.095,0.0
AGC_032,23/07/2025,Planet,0.668,0.093,0.84,0.468,0.492,0.08,0.659,0.331,2.235,0.324,2.858,1.571,0.487,0.083,0.665,0.32,0.0
AGC_032,31/03/2025,Planet,0.282,0.039,0.472,0.208,0.165,0.02,0.265,0.128,0.932,0.165,1.871,0.607,0.164,0.019,0.256,0.13,0.0
AGC_067,01/01/2025,Planet,0.275,0.022,0.376,0.218,0.141,0.014,0.194,0.11,0.992,0.094,1.275,0.679,0.141,0.014,0.193,0.108,0.0
AGC_067,07/06/2025,Planet,0.29,0.024,0.386,0.196,0.129,0.015,0.188,0.081,1.191,0.152,1.86,0.737,0.123,0.014,0.182,0.078,0.0
AGC_067,14/10/2025,Planet,0.449,0.064,0.627,0.338,0.255,0.036,0.372,0.201,1.427,0.156,1.887,1.135,0.255,0.034,0.366,0.202,0.0
AGC_067,19/11/2025,Planet,0.322,0.04,0.44,0.244,0.191,0.017,0.256,0.153,1.092,0.121,1.46,0.832,0.196,0.018,0.266,0.159,0.0
AGC_067,24/11/2025,Planet,0.288,0.034,0.38,0.219,0.175,0.015,0.224,0.141,0.958,0.103,1.24,0.743,0.176,0.015,0.228,0.141,0.0
AGC_067,31/03/2025,Planet,0.284,0.011,0.321,0.246,0.16,0.009,0.192,0.129,1.053,0.061,1.316,0.822,0.154,0.008,0.185,0.125,0.0
AGC_095,15/01/2025,Planet,0.275,0.034,0.434,0.216,0.143,0.019,0.231,0.108,0.957,0.132,1.473,0.614,0.142,0.019,0.231,0.108,0.0
AGC_122,01/01/2025,Planet,0.257,0.038,0.429,0.168,0.131,0.019,0.218,0.081,0.802,0.163,1.485,0.288,0.129,0.018,0.212,0.079,0.0
AGC_122,07/01/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_122,12/09/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_122,18/04/2025,Planet,0.218,0.044,0.478,0.13,0.135,0.025,0.266,0.077,0.744,0.175,1.698,0.259,0.138,0.025,0.267,0.078,0.0
AGC_122,24/02/2025,Planet,0.27,0.041,0.483,0.183,0.143,0.02,0.24,0.095,0.884,0.165,1.666,0.48,0.146,0.02,0.237,0.099,0.0
AGC_122,31/08/2025,Planet,0.746,0.046,0.832,0.476,0.474,0.04,0.583,0.308,2.73,0.176,3.093,1.875,0.484,0.043,0.605,0.302,0.0
AGC_143,10/01/2025,Planet,0.26,0.021,0.375,0.186,0.131,0.015,0.209,0.089,0.921,0.107,1.5,0.535,0.131,0.017,0.217,0.088,0.0
AGC_143,15/01/2025,Planet,0.285,0.021,0.405,0.201,0.15,0.013,0.23,0.107,1.025,0.107,1.519,0.613,0.148,0.014,0.232,0.104,0.0
AGC_143,17/01/2025,Planet,0.251,0.022,0.363,0.168,0.131,0.014,0.207,0.085,0.906,0.114,1.309,0.458,0.127,0.014,0.202,0.081,0.0
AGC_143,19/01/2025,Planet,0.225,0.021,0.324,0.153,0.13,0.014,0.196,0.088,0.842,0.099,1.304,0.489,0.122,0.014,0.186,0.081,0.0
AGC_143,23/12/2025,Planet,0.229,0.029,0.372,0.16,0.139,0.017,0.219,0.098,0.845,0.096,1.31,0.586,0.134,0.017,0.214,0.095,0.0
AGC_143,28/06/2025,Planet,0.368,0.058,0.618,0.175,0.207,0.045,0.417,0.097,1.218,0.232,2.584,0.24,0.184,0.042,0.385,0.087,0.0
AGC_159,01/07/2025,Planet,0.549,0.09,0.784,0.301,0.371,0.121,0.79,0.135,1.84,0.31,2.712,0.958,0.303,0.106,0.664,0.105,82.157
AGC_159,13/01/2025,Planet,0.29,0.046,0.543,0.182,0.159,0.02,0.296,0.111,1.048,0.187,1.942,0.501,0.159,0.02,0.298,0.112,0.0
AGC_159,15/01/2025,Planet,0.299,0.047,0.571,0.21,0.165,0.021,0.316,0.122,1.074,0.181,2.055,0.596,0.162,0.02,0.315,0.121,0.0
AGC_159,17/01/2025,Planet,0.267,0.047,0.509,0.152,0.142,0.021,0.272,0.086,0.96,0.198,1.915,0.397,0.137,0.02,0.266,0.081,0.0
AGC_159,19/01/2025,Planet,0.241,0.045,0.47,0.141,0.141,0.022,0.265,0.089,0.899,0.172,1.729,0.461,0.133,0.02,0.253,0.087,0.0
AGC_159,28/06/2025,Planet,0.622,0.083,0.786,0.303,0.439,0.082,0.679,0.21,2.141,0.298,2.97,1.005,0.404,0.081,0.639,0.188,0.0
AGC_184,15/01/2025,Planet,0.281,0.024,0.399,0.207,0.178,0.016,0.25,0.121,0.949,0.1,1.43,0.63,0.177,0.016,0.248,0.121,0.0
AGC_184,17/01/2025,Planet,0.259,0.025,0.397,0.188,0.159,0.016,0.254,0.109,0.91,0.111,1.516,0.523,0.156,0.016,0.249,0.106,0.0
AGC_184,18/01/2025,Planet,0.213,0.022,0.286,0.148,0.138,0.018,0.194,0.088,0.818,0.089,1.166,0.537,0.122,0.016,0.174,0.078,72.12
AGC_184,19/01/2025,Planet,0.238,0.025,0.383,0.181,0.156,0.016,0.239,0.116,0.839,0.101,1.342,0.58,0.15,0.016,0.231,0.111,0.0
