variable,anio,mes,archivo,filas,columnas,resolucion_grados,crs,unidad,nodata,min_region,max_region,media_region
Tmax,2022,1,Tmax/2022/Tmax_2022_01.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.663114547729492,29.675657272338867,23.698543322455023
Tmax,2022,2,Tmax/2022/Tmax_2022_02.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,20.132898330688477,30.457622528076172,24.39661088154381
Tmax,2022,3,Tmax/2022/Tmax_2022_03.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,23.77744483947754,32.403358459472656,27.732240307977627
Tmax,2022,4,Tmax/2022/Tmax_2022_04.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,24.87899398803711,36.934139251708984,29.97983276678382
Tmax,2022,5,Tmax/2022/Tmax_2022_05.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,25.512920379638672,38.56427001953125,30.849767513523076
Tmax,2022,6,Tmax/2022/Tmax_2022_06.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,20.586511611938477,36.13569641113281,27.87070289955498
Tmax,2022,7,Tmax/2022/Tmax_2022_07.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.500478744506836,36.38315200805664,27.644849218524982
Tmax,2022,8,Tmax/2022/Tmax_2022_08.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.107479095458984,36.90839767456055,27.65713291005776
Tmax,2022,9,Tmax/2022/Tmax_2022_09.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,17.05921745300293,33.082420349121094,25.345300253385496
Tmax,2022,10,Tmax/2022/Tmax_2022_10.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,18.467857360839844,31.57794952392578,25.750835592251946
Tmax,2022,11,Tmax/2022/Tmax_2022_11.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,20.167421340942383,30.81882667541504,25.73934041155341
Tmax,2022,12,Tmax/2022/Tmax_2022_12.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.02814292907715,28.545522689819336,23.63557906986512
Tmax,2023,1,Tmax/2023/Tmax_2023_01.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,21.102802276611328,29.61353302001953,25.04170699271318
Tmax,2023,2,Tmax/2023/Tmax_2023_02.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,22.719226837158203,30.81616973876953,26.245166012974718
Tmax,2023,3,Tmax/2023/Tmax_2023_03.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,24.494213104248047,33.16197967529297,28.442179673886095
Tmax,2023,4,Tmax/2023/Tmax_2023_04.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,24.476980209350586,33.75086212158203,28.880043632510745
Tmax,2023,5,Tmax/2023/Tmax_2023_05.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,23.20317268371582,34.83272171020508,28.577247924838886
Tmax,2023,6,Tmax/2023/Tmax_2023_06.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,23.821002960205078,39.26191329956055,31.01492517318281
Tmax,2023,7,Tmax/2023/Tmax_2023_07.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,20.10302734375,37.700477600097656,28.190967321716474
Tmax,2023,8,Tmax/2023/Tmax_2023_08.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.608858108520508,37.73080825805664,28.12203503125241
Tmax,2023,9,Tmax/2023/Tmax_2023_09.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,20.456295013427734,39.60450744628906,29.008516661739307
Tmax,2023,10,Tmax/2023/Tmax_2023_10.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,18.978607177734375,32.95674133300781,26.546563698645933
Tmax,2023,11,Tmax/2023/Tmax_2023_11.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.999420166015625,30.381303787231445,25.321202883427585
Tmax,2023,12,Tmax/2023/Tmax_2023_12.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,18.145584106445312,28.205657958984375,22.700379626839645
Tmax,2024,1,Tmax/2024/Tmax_2024_01.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,20.971269607543945,30.192611694335938,24.808055221954305
Tmax,2024,2,Tmax/2024/Tmax_2024_02.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,23.849105834960938,32.35274124145508,27.37244781834403
Tmax,2024,3,Tmax/2024/Tmax_2024_03.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,25.647024154663086,34.03437805175781,29.54848146545465
Tmax,2024,4,Tmax/2024/Tmax_2024_04.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,26.996248245239258,36.6951904296875,30.986532854211003
Tmax,2024,5,Tmax/2024/Tmax_2024_05.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,28.33155632019043,41.97311019897461,33.66894957133336
Tmax,2024,6,Tmax/2024/Tmax_2024_06.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,23.383533477783203,38.99677276611328,30.20327690437416
Tmax,2024,7,Tmax/2024/Tmax_2024_07.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.57693099975586,35.25704574584961,27.121274382156514
Tmax,2024,8,Tmax/2024/Tmax_2024_08.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.479005813598633,35.6965217590332,27.82563626269277
Tmax,2024,9,Tmax/2024/Tmax_2024_09.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,18.926502227783203,35.07224655151367,26.759795321417943
Tmax,2024,10,Tmax/2024/Tmax_2024_10.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,17.888408660888672,32.36362075805664,25.48065799942256
Tmax,2024,11,Tmax/2024/Tmax_2024_11.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,21.395641326904297,32.68118667602539,26.886451106924266
Tmax,2024,12,Tmax/2024/Tmax_2024_12.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.850149154663086,30.21729850769043,24.59488366356563
Tmax,2025,1,Tmax/2025/Tmax_2025_01.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,20.29362678527832,29.855484008789062,23.83037102826237
Tmax,2025,2,Tmax/2025/Tmax_2025_02.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,21.593305587768555,31.988357543945312,26.306619035882406
Tmax,2025,3,Tmax/2025/Tmax_2025_03.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,24.917001724243164,36.53345489501953,29.362763194533432
Tmax,2025,4,Tmax/2025/Tmax_2025_04.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,25.106060028076172,36.62122344970703,29.841478102413436
Tmax,2025,5,Tmax/2025/Tmax_2025_05.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,25.384048461914062,37.588531494140625,30.405327165570295
Tmax,2025,6,Tmax/2025/Tmax_2025_06.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,20.00309944152832,34.65403747558594,26.673166451994906
Tmax,2025,7,Tmax/2025/Tmax_2025_07.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.498512268066406,34.79878234863281,26.985147299225797
Tmax,2025,8,Tmax/2025/Tmax_2025_08.tif,72,65,0.05000000074505806,EPSG:4326,°C,-9999.0,19.700849533081055,35.73137664794922,27.763405331791596
