protocol,ablation,model,fold,n_features,n_train,n_validation,rmse,mae,r2
fold_state_stratified,A0_geometry_admin,DummyMean,1,12,110,28,0.8677484966076386,0.7548636363636366,-0.0055601879035411805
fold_state_stratified,A0_geometry_admin,DummyMean,2,12,110,28,0.8130554975096699,0.7277012987012987,-0.02212564905044423
fold_state_stratified,A0_geometry_admin,DummyMean,3,12,110,28,0.8426965467436915,0.7678766233766234,-0.00013702227740108874
fold_state_stratified,A0_geometry_admin,DummyMean,4,12,111,27,0.8792748670691246,0.7725525525525526,-0.03955342001360873
fold_state_stratified,A0_geometry_admin,DummyMean,5,12,111,27,0.8502830854895408,0.7322922922922925,-0.0220983323204178
fold_state_stratified,A0_geometry_admin,Ridge,1,12,110,28,0.5588231344730566,0.3774653999294269,0.5829682845021472
fold_state_stratified,A0_geometry_admin,Ridge,2,12,110,28,0.6036631804606148,0.4624999616006063,0.4365527283851216
fold_state_stratified,A0_geometry_admin,Ridge,3,12,110,28,0.44217893312334683,0.3589930756211642,0.7246321901227002
fold_state_stratified,A0_geometry_admin,Ridge,4,12,111,27,0.6106257442741089,0.415554689650067,0.4986422724988425
fold_state_stratified,A0_geometry_admin,Ridge,5,12,111,27,0.5586423433988807,0.3934086170097202,0.558802237113571
fold_state_stratified,A0_geometry_admin,ExtraTrees,1,12,110,28,0.5571792254548894,0.39267830984066704,0.5854182683518625
fold_state_stratified,A0_geometry_admin,ExtraTrees,2,12,110,28,0.5307965401340223,0.40169024684688864,0.5643677011524921
fold_state_stratified,A0_geometry_admin,ExtraTrees,3,12,110,28,0.36810096051706676,0.28587731047286774,0.8091680989008199
fold_state_stratified,A0_geometry_admin,ExtraTrees,4,12,111,27,0.5858726457894705,0.3737375629905562,0.5384657499540833
fold_state_stratified,A0_geometry_admin,ExtraTrees,5,12,111,27,0.5056294083847298,0.3756504999305036,0.6385649624178853
fold_state_stratified,A1_static_environment,DummyMean,1,115,110,28,0.8677484966076386,0.7548636363636366,-0.0055601879035411805
fold_state_stratified,A1_static_environment,DummyMean,2,115,110,28,0.8130554975096699,0.7277012987012987,-0.02212564905044423
fold_state_stratified,A1_static_environment,DummyMean,3,115,110,28,0.8426965467436915,0.7678766233766234,-0.00013702227740108874
fold_state_stratified,A1_static_environment,DummyMean,4,115,111,27,0.8792748670691246,0.7725525525525526,-0.03955342001360873
fold_state_stratified,A1_static_environment,DummyMean,5,115,111,27,0.8502830854895408,0.7322922922922925,-0.0220983323204178
fold_state_stratified,A1_static_environment,Ridge,1,115,110,28,0.5066953187853188,0.3797247376729467,0.6571421364594012
fold_state_stratified,A1_static_environment,Ridge,2,115,110,28,0.5168753548817967,0.4210108120243377,0.5869186807267748
fold_state_stratified,A1_static_environment,Ridge,3,115,110,28,0.5236841068675576,0.4266303546540575,0.613761232022896
fold_state_stratified,A1_static_environment,Ridge,4,115,111,27,0.6375286225059458,0.4909259003564764,0.4534915672053256
fold_state_stratified,A1_static_environment,Ridge,5,115,111,27,0.6413334966678212,0.5123547555019327,0.418521786857614
fold_state_stratified,A1_static_environment,ExtraTrees,1,115,110,28,0.5873717712247832,0.4387825728240026,0.5392700209916209
fold_state_stratified,A1_static_environment,ExtraTrees,2,115,110,28,0.5058177405977036,0.4221202721088437,0.6044038832035266
fold_state_stratified,A1_static_environment,ExtraTrees,3,115,110,28,0.41971046926564387,0.3062366887411533,0.7519057606491969
fold_state_stratified,A1_static_environment,ExtraTrees,4,115,111,27,0.5732504285875187,0.37556465869138583,0.5581383921383096
fold_state_stratified,A1_static_environment,ExtraTrees,5,115,111,27,0.5446008549561924,0.43583514160850595,0.580702534161849
fold_state_stratified,A2_static_plus_siap_history,DummyMean,1,129,110,28,0.8677484966076386,0.7548636363636366,-0.0055601879035411805
fold_state_stratified,A2_static_plus_siap_history,DummyMean,2,129,110,28,0.8130554975096699,0.7277012987012987,-0.02212564905044423
fold_state_stratified,A2_static_plus_siap_history,DummyMean,3,129,110,28,0.8426965467436915,0.7678766233766234,-0.00013702227740108874
fold_state_stratified,A2_static_plus_siap_history,DummyMean,4,129,111,27,0.8792748670691246,0.7725525525525526,-0.03955342001360873
fold_state_stratified,A2_static_plus_siap_history,DummyMean,5,129,111,27,0.8502830854895408,0.7322922922922925,-0.0220983323204178
fold_state_stratified,A2_static_plus_siap_history,Ridge,1,129,110,28,0.5779764929813151,0.42214627403049304,0.5538913116501909
fold_state_stratified,A2_static_plus_siap_history,Ridge,2,129,110,28,0.47169322456866675,0.3721504256163396,0.6559804041373194
fold_state_stratified,A2_static_plus_siap_history,Ridge,3,129,110,28,0.5169096017043155,0.4343577661777056,0.6236895539183422
fold_state_stratified,A2_static_plus_siap_history,Ridge,4,129,111,27,0.6697621651655815,0.5071027583413199,0.3968314155224244
fold_state_stratified,A2_static_plus_siap_history,Ridge,5,129,111,27,0.5742247608713963,0.4703632682509937,0.5338459828576271
fold_state_stratified,A2_static_plus_siap_history,ExtraTrees,1,129,110,28,0.5849478784492544,0.4166930576599325,0.5430647413677292
fold_state_stratified,A2_static_plus_siap_history,ExtraTrees,2,129,110,28,0.4947548968156093,0.39696377569190144,0.6215189779271952
fold_state_stratified,A2_static_plus_siap_history,ExtraTrees,3,129,110,28,0.3672530134068154,0.2594606429945715,0.8100462763561508
fold_state_stratified,A2_static_plus_siap_history,ExtraTrees,4,129,111,27,0.5723193979868875,0.3786879999287411,0.5595725039536039
fold_state_stratified,A2_static_plus_siap_history,ExtraTrees,5,129,111,27,0.4942520386199989,0.4022998793490452,0.6546475521406658
fold_state_stratified,A3_clean_plus_climate,DummyMean,1,153,110,28,0.8677484966076386,0.7548636363636366,-0.0055601879035411805
fold_state_stratified,A3_clean_plus_climate,DummyMean,2,153,110,28,0.8130554975096699,0.7277012987012987,-0.02212564905044423
fold_state_stratified,A3_clean_plus_climate,DummyMean,3,153,110,28,0.8426965467436915,0.7678766233766234,-0.00013702227740108874
fold_state_stratified,A3_clean_plus_climate,DummyMean,4,153,111,27,0.8792748670691246,0.7725525525525526,-0.03955342001360873
fold_state_stratified,A3_clean_plus_climate,DummyMean,5,153,111,27,0.8502830854895408,0.7322922922922925,-0.0220983323204178
fold_state_stratified,A3_clean_plus_climate,Ridge,1,153,110,28,0.5412177187104483,0.38993966672124314,0.6088310778992444
fold_state_stratified,A3_clean_plus_climate,Ridge,2,153,110,28,0.4614018219409393,0.3661670857353267,0.6708282810434127
fold_state_stratified,A3_clean_plus_climate,Ridge,3,153,110,28,0.4673742965630763,0.39191869723870465,0.6923572219147935
fold_state_stratified,A3_clean_plus_climate,Ridge,4,153,111,27,0.6287582216867322,0.46533654514736855,0.4684246347301245
fold_state_stratified,A3_clean_plus_climate,Ridge,5,153,111,27,0.5503119492936097,0.4624013844831374,0.5718622857558411
fold_state_stratified,A3_clean_plus_climate,ExtraTrees,1,153,110,28,0.6016178340387768,0.42915180701573563,0.5166499875143127
fold_state_stratified,A3_clean_plus_climate,ExtraTrees,2,153,110,28,0.49683595516729195,0.40850819302721114,0.6183283168497165
fold_state_stratified,A3_clean_plus_climate,ExtraTrees,3,153,110,28,0.3640419611324102,0.2569631710782603,0.8133534503191506
fold_state_stratified,A3_clean_plus_climate,ExtraTrees,4,153,111,27,0.5607267101698372,0.37574784774553244,0.5772340702763286
fold_state_stratified,A3_clean_plus_climate,ExtraTrees,5,153,111,27,0.4943395529980245,0.39282470507544515,0.6545252421528621
fold_state_stratified,A4_clean_plus_basic_history,DummyMean,1,692,110,28,0.8677484966076386,0.7548636363636366,-0.0055601879035411805
fold_state_stratified,A4_clean_plus_basic_history,DummyMean,2,692,110,28,0.8130554975096699,0.7277012987012987,-0.02212564905044423
fold_state_stratified,A4_clean_plus_basic_history,DummyMean,3,692,110,28,0.8426965467436915,0.7678766233766234,-0.00013702227740108874
fold_state_stratified,A4_clean_plus_basic_history,DummyMean,4,692,111,27,0.8792748670691246,0.7725525525525526,-0.03955342001360873
fold_state_stratified,A4_clean_plus_basic_history,DummyMean,5,692,111,27,0.8502830854895408,0.7322922922922925,-0.0220983323204178
fold_state_stratified,A4_clean_plus_basic_history,Ridge,1,692,110,28,0.7069200764807811,0.538706915112227,0.33263878658561463
fold_state_stratified,A4_clean_plus_basic_history,Ridge,2,692,110,28,0.6241475985346205,0.5082269650638535,0.39766442663996604
fold_state_stratified,A4_clean_plus_basic_history,Ridge,3,692,110,28,0.6858244453956333,0.5271774530322116,0.3375654165816885
fold_state_stratified,A4_clean_plus_basic_history,Ridge,4,692,111,27,0.7108278474346096,0.5349981900189749,0.3205987224622926
fold_state_stratified,A4_clean_plus_basic_history,Ridge,5,692,111,27,0.6256568015179932,0.48912691735549835,0.44660154756524006
fold_state_stratified,A4_clean_plus_basic_history,ExtraTrees,1,692,110,28,0.5770696133510135,0.40921298752834484,0.5552901556948047
fold_state_stratified,A4_clean_plus_basic_history,ExtraTrees,2,692,110,28,0.5004904102594784,0.4124671513605444,0.6126929286936997
fold_state_stratified,A4_clean_plus_basic_history,ExtraTrees,3,692,110,28,0.430695697407283,0.3185422619047623,0.7387488914523658
fold_state_stratified,A4_clean_plus_basic_history,ExtraTrees,4,692,111,27,0.5558004828910934,0.3538677983539093,0.5846298035830206
fold_state_stratified,A4_clean_plus_basic_history,ExtraTrees,5,692,111,27,0.4826648483818498,0.3790173427395644,0.6706505502589262
fold_state_stratified,A5_clean_full,DummyMean,1,692,110,28,0.8677484966076386,0.7548636363636366,-0.0055601879035411805
fold_state_stratified,A5_clean_full,DummyMean,2,692,110,28,0.8130554975096699,0.7277012987012987,-0.02212564905044423
fold_state_stratified,A5_clean_full,DummyMean,3,692,110,28,0.8426965467436915,0.7678766233766234,-0.00013702227740108874
fold_state_stratified,A5_clean_full,DummyMean,4,692,111,27,0.8792748670691246,0.7725525525525526,-0.03955342001360873
fold_state_stratified,A5_clean_full,DummyMean,5,692,111,27,0.8502830854895408,0.7322922922922925,-0.0220983323204178
fold_state_stratified,A5_clean_full,Ridge,1,692,110,28,0.7069200764807811,0.538706915112227,0.33263878658561463
fold_state_stratified,A5_clean_full,Ridge,2,692,110,28,0.6241475985346205,0.5082269650638535,0.39766442663996604
fold_state_stratified,A5_clean_full,Ridge,3,692,110,28,0.6858244453956333,0.5271774530322116,0.3375654165816885
fold_state_stratified,A5_clean_full,Ridge,4,692,111,27,0.7108278474346096,0.5349981900189749,0.3205987224622926
fold_state_stratified,A5_clean_full,Ridge,5,692,111,27,0.6256568015179932,0.48912691735549835,0.44660154756524006
fold_state_stratified,A5_clean_full,ExtraTrees,1,692,110,28,0.5770696133510137,0.40921298752834495,0.5552901556948044
fold_state_stratified,A5_clean_full,ExtraTrees,2,692,110,28,0.5004904102594782,0.41246715136054396,0.6126929286937002
fold_state_stratified,A5_clean_full,ExtraTrees,3,692,110,28,0.4306956974072825,0.31854226190476204,0.7387488914523664
fold_state_stratified,A5_clean_full,ExtraTrees,4,692,111,27,0.5558004828910933,0.35386779835390925,0.5846298035830209
fold_state_stratified,A5_clean_full,ExtraTrees,5,692,111,27,0.48266484838184975,0.37901734273956444,0.6706505502589262
fold_state_stratified,A6_competition_remote_weather,DummyMean,1,1396,110,28,0.8677484966076386,0.7548636363636366,-0.0055601879035411805
fold_state_stratified,A6_competition_remote_weather,DummyMean,2,1396,110,28,0.8130554975096699,0.7277012987012987,-0.02212564905044423
fold_state_stratified,A6_competition_remote_weather,DummyMean,3,1396,110,28,0.8426965467436915,0.7678766233766234,-0.00013702227740108874
fold_state_stratified,A6_competition_remote_weather,DummyMean,4,1396,111,27,0.8792748670691246,0.7725525525525526,-0.03955342001360873
fold_state_stratified,A6_competition_remote_weather,DummyMean,5,1396,111,27,0.8502830854895408,0.7322922922922925,-0.0220983323204178
fold_state_stratified,A6_competition_remote_weather,Ridge,1,1396,110,28,0.6207031652656042,0.4651503656484066,0.4854965980040127
fold_state_stratified,A6_competition_remote_weather,Ridge,2,1396,110,28,0.7002133336020542,0.5181974077012675,0.24190320937274312
fold_state_stratified,A6_competition_remote_weather,Ridge,3,1396,110,28,0.7081615399890805,0.5783898212019644,0.29371212805352975
fold_state_stratified,A6_competition_remote_weather,Ridge,4,1396,111,27,0.6059950643959559,0.44414590021417977,0.5062175315944045
fold_state_stratified,A6_competition_remote_weather,Ridge,5,1396,111,27,0.6258332137525564,0.49058070705242146,0.44628942749919065
fold_state_stratified,A6_competition_remote_weather,ExtraTrees,1,1396,110,28,0.5619874393855208,0.3742253571428575,0.5782320753187236
fold_state_stratified,A6_competition_remote_weather,ExtraTrees,2,1396,110,28,0.49990935740734466,0.40075744047619066,0.61359170812445
fold_state_stratified,A6_competition_remote_weather,ExtraTrees,3,1396,110,28,0.40853423976659947,0.3024445039682539,0.7649425622681385
fold_state_stratified,A6_competition_remote_weather,ExtraTrees,4,1396,111,27,0.5562022089842772,0.3538606584362141,0.5840291371373354
fold_state_stratified,A6_competition_remote_weather,ExtraTrees,5,1396,111,27,0.47367128180481655,0.37354397119341476,0.6828098374899798
fold_state_stratified,A7_competition_full,DummyMean,1,1401,110,28,0.8677484966076386,0.7548636363636366,-0.0055601879035411805
fold_state_stratified,A7_competition_full,DummyMean,2,1401,110,28,0.8130554975096699,0.7277012987012987,-0.02212564905044423
fold_state_stratified,A7_competition_full,DummyMean,3,1401,110,28,0.8426965467436915,0.7678766233766234,-0.00013702227740108874
