ID_POLIGONO,meta_estado,meta_municipio,fold_state_stratified,fold_municipality_grouped
AGC_001,Tlaxcala,Calpulalpan,5,1
AGC_002,Puebla,Chignahuapan,5,4
AGC_004,Tlaxcala,Calpulalpan,3,1
AGC_005,Puebla,Chignahuapan,3,4
AGC_006,Puebla,Chignahuapan,5,4
AGC_007,Hidalgo,Singuilucan,4,2
AGC_008,Puebla,Chignahuapan,2,4
AGC_009,Hidalgo,Cuautepec de Hinojosa,1,5
AGC_010,Puebla,Chignahuapan,3,4
AGC_012,Puebla,Chignahuapan,4,4
AGC_013,Puebla,Chignahuapan,5,4
AGC_014,Puebla,Chignahuapan,3,4
AGC_015,Puebla,Chignahuapan,1,4
AGC_017,Puebla,Chignahuapan,1,4
AGC_018,Puebla,Chignahuapan,3,4
AGC_019,Tlaxcala,Calpulalpan,4,1
AGC_020,Hidalgo,Emiliano Zapata,5,1
AGC_021,Puebla,Chignahuapan,3,4
AGC_022,Puebla,Chignahuapan,4,4
AGC_023,Tlaxcala,Calpulalpan,3,1
AGC_024,Puebla,Chignahuapan,2,4
AGC_026,Puebla,Chignahuapan,4,4
AGC_032,Puebla,Chignahuapan,1,4
AGC_033,Puebla,Chignahuapan,2,4
AGC_034,Hidalgo,Singuilucan,5,2
AGC_035,Hidalgo,Cuautepec de Hinojosa,5,5
AGC_037,Tlaxcala,Calpulalpan,2,1
AGC_038,Hidalgo,Singuilucan,3,2
AGC_040,Tlaxcala,Calpulalpan,2,1
AGC_041,Hidalgo,Singuilucan,4,2
AGC_044,Hidalgo,Emiliano Zapata,3,1
AGC_045,Puebla,Chignahuapan,1,4
AGC_046,Tlaxcala,Calpulalpan,5,1
AGC_047,Hidalgo,Tepeapulco,2,4
AGC_048,Tlaxcala,Nanacamilpa de Mariano Arista,4,5
AGC_049,Puebla,Chignahuapan,2,4
AGC_051,Hidalgo,Almoloya,3,3
AGC_053,Tlaxcala,Calpulalpan,2,1
AGC_054,Tlaxcala,Calpulalpan,1,1
AGC_055,Puebla,Chignahuapan,2,4
AGC_056,Puebla,Chignahuapan,4,4
AGC_057,Puebla,Chignahuapan,5,4
AGC_058,Tlaxcala,Calpulalpan,1,1
AGC_059,Hidalgo,Almoloya,3,3
AGC_060,Puebla,Chignahuapan,5,4
AGC_062,Puebla,Chignahuapan,2,4
AGC_064,Hidalgo,Cuautepec de Hinojosa,2,5
AGC_066,Tlaxcala,Calpulalpan,3,1
AGC_067,Hidalgo,Singuilucan,3,2
AGC_068,Tlaxcala,Calpulalpan,1,1
AGC_069,Puebla,Chignahuapan,3,4
AGC_070,Hidalgo,Singuilucan,3,2
AGC_072,Puebla,Chignahuapan,3,4
AGC_073,Puebla,Chignahuapan,1,4
AGC_074,Tlaxcala,Calpulalpan,3,1
AGC_077,Puebla,Chignahuapan,3,4
AGC_078,Hidalgo,Singuilucan,2,2
AGC_079,Hidalgo,Singuilucan,1,2
AGC_080,Hidalgo,Singuilucan,4,2
AGC_081,Hidalgo,Singuilucan,4,2
AGC_083,Hidalgo,Cuautepec de Hinojosa,1,5
AGC_084,Hidalgo,Almoloya,5,3
AGC_089,Hidalgo,Singuilucan,3,2
AGC_090,Puebla,Chignahuapan,1,4
AGC_092,Puebla,Chignahuapan,5,4
AGC_096,Puebla,Chignahuapan,5,4
AGC_097,Puebla,Chignahuapan,3,4
AGC_098,Tlaxcala,Calpulalpan,2,1
AGC_099,Tlaxcala,Calpulalpan,4,1
