feature,family,source,mode,description,dtype,numeric,missing_fraction_all,n_unique_non_null
admin_admin_join_source,admin,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,object,False,0.0,1
admin_cve_ent,admin,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,int64,True,0.0,3
admin_cve_mun,admin,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,int64,True,0.0,8
admin_cvegeo,admin,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,int64,True,0.0,9
admin_official_spatial_match,admin,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,bool,True,0.0,2
admin_spatial_cvegeo,admin,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,int64,True,0.0,9
admin_spatial_municipio,admin,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,object,False,0.0,9
admin_spatial_overlap_fraction,admin,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,float64,True,0.0,16
base_area_delta_ha,geometry,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,float64,True,0.0,197
base_area_ha,geometry,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,float64,True,0.0,175
base_area_ratio,geometry,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,float64,True,0.0,197
base_centroid_lat,geometry,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,float64,True,0.0,197
base_centroid_lon,geometry,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,float64,True,0.0,197
base_geom_area_ha,geometry,official_split+official_parcels+admin,clean,Static parcel geometry or administrative feature.,float64,True,0.0,197
cem15__elevation__max,cem,external_inegi_cem,clean,High-resolution state CEM elevation zonal statistic.,float64,True,0.0,142
cem15__elevation__mean,cem,external_inegi_cem,clean,High-resolution state CEM elevation zonal statistic.,float64,True,0.0,197
cem15__elevation__min,cem,external_inegi_cem,clean,High-resolution state CEM elevation zonal statistic.,float64,True,0.0,130
cem15__elevation__range,cem,external_inegi_cem,clean,High-resolution state CEM elevation zonal statistic.,float64,True,0.0,42
cem15__elevation__std,cem,external_inegi_cem,clean,High-resolution state CEM elevation zonal statistic.,float64,True,0.0,197
chirps_daily_2025__max_dry_spell_days,chirps,external_chirps_daily,competition,Full April-Oct 2025 daily CHIRPS precipitation aggregate/extreme.,float64,True,0.0,7
clim_official_2025__prec__m04,climate_official,official_climate,competition,Full target-season 2025 monthly climate value.,float64,True,0.0,40
clim_official_2025__prec__m04_anomaly,climate_official,official_climate,competition,2025 monthly anomaly versus 2022-2024 climatology.,float64,True,0.0,40
clim_official_2025__prec__m05,climate_official,official_climate,competition,Full target-season 2025 monthly climate value.,float64,True,0.0,40
