protocol,fold,fit_rows,held_out_rows_not_scored,selected_primitives
fold_state_stratified,1,110,28,siap_hist__yield_trend_recent|clim_official_2025__prec__season_sum|siap_hist__yield_mean_recent|wapor_2025__aeti__season_total|soilgrids__soc__depth_weighted_0_30cm|agro_thermal__2025__gdd_proxy_base5p0c|agro_water__2025__precip_minus_aeti_season|emp_vci_like_short__s2_ndvi__season_mean|wapor_2025__npp__season_total|soilgrids__nitrogen__depth_weighted_0_30cm|soilgrids__cec__depth_weighted_0_30cm|agro_soil__soc_x_cec
fold_state_stratified,2,110,28,siap_hist__yield_trend_recent|agro_thermal__2025__gdd_proxy_base5p0c|siap_hist__yield_mean_recent|wapor_2025__aeti__season_total|soilgrids__soc__depth_weighted_0_30cm|emp_vci_like_short__s2_ndvi__season_mean|soilgrids__nitrogen__depth_weighted_0_30cm|clim_official_2025__prec__season_sum|wapor_2025__npp__season_total|agro_soil__soc_x_cec|agro_water__2025__precip_minus_aeti_season|agro_anomaly__s2_ndvi__season_mean_delta
fold_state_stratified,3,110,28,siap_hist__yield_trend_recent|wapor_2025__aeti__season_total|agro_thermal__2025__gdd_proxy_base5p0c|soilgrids__soc__depth_weighted_0_30cm|clim_official_2025__prec__season_sum|siap_hist__yield_mean_recent|soilgrids__nitrogen__depth_weighted_0_30cm|emp_vci_like_short__s2_ndvi__season_mean|agro_water__2025__precip_minus_aeti_season|soilgrids__cec__depth_weighted_0_30cm|agro_soil__soc_x_cec|emp_shape__y2025_s2_ndvi__shape_entropy
fold_state_stratified,4,111,27,siap_hist__yield_trend_recent|agro_thermal__2025__gdd_proxy_base5p0c|siap_hist__yield_mean_recent|wapor_2025__aeti__season_total|soilgrids__soc__depth_weighted_0_30cm|emp_vci_like_short__s2_ndvi__season_mean|clim_official_2025__prec__season_sum|soilgrids__nitrogen__depth_weighted_0_30cm|agro_soil__soc_x_cec|wapor_2025__npp__season_total|agro_anomaly__s2_ndvi__season_mean_delta|emp_symchange__s2_ndvi__season_mean
fold_state_stratified,5,111,27,siap_hist__yield_trend_recent|siap_hist__yield_mean_recent|wapor_2025__aeti__season_total|agro_thermal__2025__gdd_proxy_base5p0c|emp_vci_like_short__s2_ndvi__season_mean|soilgrids__soc__depth_weighted_0_30cm|clim_official_2025__prec__season_sum|soilgrids__nitrogen__depth_weighted_0_30cm|soilgrids__cec__depth_weighted_0_30cm|wapor_2025__npp__season_total|agro_water__2025__precip_minus_aeti_season|agro_soil__soc_x_cec
fold_municipality_grouped,1,105,33,clim_official_2025__prec__season_sum|agro_water__2025__precip_minus_aeti_season|siap_hist__yield_mean_recent|siap_hist__yield_trend_recent|wapor_2025__aeti__season_total|soilgrids__cec__depth_weighted_0_30cm|emp_vci_like_short__s2_ndvi__season_mean|wapor_2025__npp__season_total|emp_shape__y2025_s2_ndvi__shape_entropy|soilgrids__nitrogen__depth_weighted_0_30cm|agro_thermal__2025__gdd_proxy_base5p0c|soilgrids__soc__depth_weighted_0_30cm
fold_municipality_grouped,2,122,16,soilgrids__soc__depth_weighted_0_30cm|agro_soil__soc_x_cec|soilgrids__nitrogen__depth_weighted_0_30cm|siap_hist__yield_trend_recent|agro_thermal__2025__gdd_proxy_base5p0c|wapor_2025__aeti__season_total|emp_vci_like_short__s2_ndvi__season_mean|siap_hist__yield_mean_recent|agro_anomaly__s2_ndvi__season_mean_delta|emp_symchange__s2_ndvi__season_mean|clim_official_2025__prec__season_sum|wapor_2025__npp__season_total
fold_municipality_grouped,3,128,10,siap_hist__yield_trend_recent|siap_hist__yield_mean_recent|wapor_2025__aeti__season_total|agro_thermal__2025__gdd_proxy_base5p0c|wapor_2025__npp__season_total|soilgrids__soc__depth_weighted_0_30cm|clim_official_2025__prec__season_sum|soilgrids__nitrogen__depth_weighted_0_30cm|emp_vci_like_short__s2_ndvi__season_mean|agro_soil__soc_x_cec|soilgrids__cec__depth_weighted_0_30cm|agro_water__2025__precip_minus_aeti_season
fold_municipality_grouped,4,65,73,agro_pheno__y2025_s2_ndvi__auc|siap_hist__yield_mean_recent|agro_anomaly__s2_ndvi__season_mean_delta|emp_vci_like_short__s2_ndvi__season_mean|sat_basic_2025__sentinel_2__ndvi_promedio__mean|agro_anomaly__s2_evi__season_mean_delta|agro_pheno__y2025_s2_lai__auc|agro_water__2025__precip_minus_aeti_season|soilgrids__cec__depth_weighted_0_30cm|wapor_2025__npp__season_total|emp_symchange__s2_ndvi__season_mean|clim_official_2025__prec__season_sum
fold_municipality_grouped,5,132,6,siap_hist__yield_trend_recent|siap_hist__yield_mean_recent|wapor_2025__aeti__season_total|soilgrids__soc__depth_weighted_0_30cm|clim_official_2025__prec__season_sum|agro_thermal__2025__gdd_proxy_base5p0c|emp_vci_like_short__s2_ndvi__season_mean|soilgrids__nitrogen__depth_weighted_0_30cm|agro_water__2025__precip_minus_aeti_season|wapor_2025__npp__season_total|agro_soil__soc_x_cec|soilgrids__cec__depth_weighted_0_30cm
