protocol,expression_key,operation,left,right,formula,selected_folds,selection_rate,mean_rank,mean_abs_spearman_train,mean_signed_spearman_train,direction_consistency
fold_municipality_grouped,reverse_safe_ratio::siap_hist__yield_trend_recent::agro_thermal__2025__gdd_proxy_base5p0c,reverse_safe_ratio,siap_hist__yield_trend_recent,agro_thermal__2025__gdd_proxy_base5p0c,(agro_thermal__2025__gdd_proxy_base5p0c) / (abs(siap_hist__yield_trend_recent) + eps),4,0.8,11.5,0.6283736927515485,-0.6283736927515485,1.0
fold_municipality_grouped,reverse_safe_ratio::soilgrids__soc__depth_weighted_0_30cm::clim_official_2025__prec__season_sum,reverse_safe_ratio,soilgrids__soc__depth_weighted_0_30cm,clim_official_2025__prec__season_sum,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),3,0.6,3.0,0.7030059107128025,-0.7030059107128025,1.0
fold_municipality_grouped,safe_ratio::soilgrids__soc__depth_weighted_0_30cm::clim_official_2025__prec__season_sum,safe_ratio,soilgrids__soc__depth_weighted_0_30cm,clim_official_2025__prec__season_sum,(soilgrids__soc__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),3,0.6,4.0,0.7030059107128025,0.7030059107128025,1.0
fold_municipality_grouped,symmetric_change::soilgrids__soc__depth_weighted_0_30cm::clim_official_2025__prec__season_sum,symmetric_change,soilgrids__soc__depth_weighted_0_30cm,clim_official_2025__prec__season_sum,2*((soilgrids__soc__depth_weighted_0_30cm)-(clim_official_2025__prec__season_sum)) / (abs(soilgrids__soc__depth_weighted_0_30cm)+abs(clim_official_2025__prec__season_sum)+eps),3,0.6,5.0,0.7030059107128025,0.7030059107128025,1.0
fold_municipality_grouped,symmetric_change::siap_hist__yield_trend_recent::siap_hist__yield_mean_recent,symmetric_change,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,2*((siap_hist__yield_trend_recent)-(siap_hist__yield_mean_recent)) / (abs(siap_hist__yield_trend_recent)+abs(siap_hist__yield_mean_recent)+eps),3,0.6,6.666666666666667,0.6927134069347808,0.6927134069347808,1.0
fold_municipality_grouped,reverse_safe_ratio::siap_hist__yield_trend_recent::clim_official_2025__prec__season_sum,reverse_safe_ratio,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_trend_recent) + eps),3,0.6,8.333333333333334,0.6835224060609465,-0.6835224060609465,1.0
fold_municipality_grouped,symmetric_change::siap_hist__yield_trend_recent::clim_official_2025__prec__season_sum,symmetric_change,siap_hist__yield_trend_recent,clim_official_2025__prec__season_sum,2*((siap_hist__yield_trend_recent)-(clim_official_2025__prec__season_sum)) / (abs(siap_hist__yield_trend_recent)+abs(clim_official_2025__prec__season_sum)+eps),3,0.6,8.333333333333334,0.6816825408809137,0.6816825408809137,1.0
fold_municipality_grouped,reverse_safe_ratio::siap_hist__yield_trend_recent::siap_hist__yield_mean_recent,reverse_safe_ratio,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,(siap_hist__yield_mean_recent) / (abs(siap_hist__yield_trend_recent) + eps),2,0.4,3.5,0.7188010317814654,-0.7188010317814654,1.0
fold_municipality_grouped,symmetric_change::siap_hist__yield_trend_recent::agro_water__2025__precip_minus_aeti_season,symmetric_change,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,2*((siap_hist__yield_trend_recent)-(agro_water__2025__precip_minus_aeti_season)) / (abs(siap_hist__yield_trend_recent)+abs(agro_water__2025__precip_minus_aeti_season)+eps),2,0.4,6.5,0.7119324966971883,0.7119324966971883,1.0
fold_municipality_grouped,reverse_safe_ratio::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm,reverse_safe_ratio,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,(soilgrids__nitrogen__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),2,0.4,13.5,0.5736066083257763,0.5736066083257763,1.0
