protocol,track,representation,model,fold,rank,feature,left,right,operation,formula,abs_spearman_train
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,1,disc_expr_01__reverse_safe_ratio__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,reverse_safe_ratio,(siap_hist__yield_mean_recent) / (abs(siap_hist__yield_trend_recent) + eps),0.7310492495113927
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,2,disc_expr_02__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__cec__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.7013159865321326
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,3,disc_expr_03__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_clay_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__clay__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__clay__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.6809196205322612
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,4,disc_expr_04__symmetric_change__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,symmetric_change,2*((siap_hist__yield_trend_recent)-(siap_hist__yield_mean_recent)) / (abs(siap_hist__yield_trend_recent)+abs(siap_hist__yield_mean_recent)+eps),0.6515747962544295
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,5,disc_expr_05__symmetric_change__siap_hist_yield_trend_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,symmetric_change,2*((siap_hist__yield_trend_recent)-(soilgrids__cec__depth_weighted_0_30cm)) / (abs(siap_hist__yield_trend_recent)+abs(soilgrids__cec__depth_weighted_0_30cm)+eps),0.6500358895599259
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,6,disc_expr_06__symmetric_change__siap_hist_yield_trend_recent__soilgrids_clay_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__clay__depth_weighted_0_30cm,symmetric_change,2*((siap_hist__yield_trend_recent)-(soilgrids__clay__depth_weighted_0_30cm)) / (abs(siap_hist__yield_trend_recent)+abs(soilgrids__clay__depth_weighted_0_30cm)+eps),0.6289391609703379
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,7,disc_expr_07__reverse_safe_ratio__siap_hist_yield_trend_recent__agro_soil_soc_x_cec,siap_hist__yield_trend_recent,agro_soil__soc_x_cec,reverse_safe_ratio,(agro_soil__soc_x_cec) / (abs(siap_hist__yield_trend_recent) + eps),0.6213933188746833
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,8,disc_expr_08__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_nitrogen_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__nitrogen__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__nitrogen__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.6146997200565903
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,9,disc_expr_09__product__siap_hist_yield_mean_recent__soilgrids_soc_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__soc__depth_weighted_0_30cm,product,(siap_hist__yield_mean_recent) * (soilgrids__soc__depth_weighted_0_30cm),0.6129352502226277
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,10,disc_expr_10__sum__siap_hist_yield_trend_recent__soilgrids_nitrogen_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__nitrogen__depth_weighted_0_30cm,sum,(siap_hist__yield_trend_recent) + (soilgrids__nitrogen__depth_weighted_0_30cm),0.6116858880994763
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,11,disc_expr_11__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_soc_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__soc__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__soc__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.6091352012332233
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,12,disc_expr_12__product__siap_hist_yield_mean_recent__soilgrids_nitrogen_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__nitrogen__depth_weighted_0_30cm,product,(siap_hist__yield_mean_recent) * (soilgrids__nitrogen__depth_weighted_0_30cm),0.6007918118646909
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,13,disc_expr_13__reverse_safe_ratio__siap_hist_yield_mean_recent__soilgrids_clay_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__clay__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__clay__depth_weighted_0_30cm) / (abs(siap_hist__yield_mean_recent) + eps),0.5834833696635797
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,14,disc_expr_14__safe_ratio__siap_hist_yield_mean_recent__soilgrids_clay_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__clay__depth_weighted_0_30cm,safe_ratio,(siap_hist__yield_mean_recent) / (abs(soilgrids__clay__depth_weighted_0_30cm) + eps),0.5834833696635797
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,15,disc_expr_15__symmetric_change__siap_hist_yield_mean_recent__soilgrids_clay_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__clay__depth_weighted_0_30cm,symmetric_change,2*((siap_hist__yield_mean_recent)-(soilgrids__clay__depth_weighted_0_30cm)) / (abs(siap_hist__yield_mean_recent)+abs(soilgrids__clay__depth_weighted_0_30cm)+eps),0.5834833696635797
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,16,disc_expr_16__reverse_safe_ratio__siap_hist_yield_mean_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__cec__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__cec__depth_weighted_0_30cm) / (abs(siap_hist__yield_mean_recent) + eps),0.5819516089028449
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,17,disc_expr_17__safe_ratio__siap_hist_yield_mean_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__cec__depth_weighted_0_30cm,safe_ratio,(siap_hist__yield_mean_recent) / (abs(soilgrids__cec__depth_weighted_0_30cm) + eps),0.5819516089028449
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,18,disc_expr_18__symmetric_change__siap_hist_yield_mean_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__cec__depth_weighted_0_30cm,symmetric_change,2*((siap_hist__yield_mean_recent)-(soilgrids__cec__depth_weighted_0_30cm)) / (abs(siap_hist__yield_mean_recent)+abs(soilgrids__cec__depth_weighted_0_30cm)+eps),0.5819516089028449
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,19,disc_expr_19__sum__siap_hist_yield_mean_recent__soilgrids_nitrogen_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__nitrogen__depth_weighted_0_30cm,sum,(siap_hist__yield_mean_recent) + (soilgrids__nitrogen__depth_weighted_0_30cm),0.5745393925680907
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,1,20,disc_expr_20__difference__soilgrids_soc_depth_weighted_0_30cm__soilgrids_cec_depth_weighted_0_30cm,soilgrids__soc__depth_weighted_0_30cm,soilgrids__cec__depth_weighted_0_30cm,difference,(soilgrids__soc__depth_weighted_0_30cm) - (soilgrids__cec__depth_weighted_0_30cm),0.5508148437045477
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,1,disc_expr_01__reverse_safe_ratio__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,reverse_safe_ratio,(siap_hist__yield_mean_recent) / (abs(siap_hist__yield_trend_recent) + eps),0.6989467709006133
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,2,disc_expr_02__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_clay_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__clay__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__clay__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.6867994401099524
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,3,disc_expr_03__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__cec__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.6833042084316097
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,4,disc_expr_04__symmetric_change__siap_hist_yield_trend_recent__siap_hist_yield_mean_recent,siap_hist__yield_trend_recent,siap_hist__yield_mean_recent,symmetric_change,2*((siap_hist__yield_trend_recent)-(siap_hist__yield_mean_recent)) / (abs(siap_hist__yield_trend_recent)+abs(siap_hist__yield_mean_recent)+eps),0.6762016659125157
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,5,disc_expr_05__symmetric_change__siap_hist_yield_trend_recent__soilgrids_clay_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__clay__depth_weighted_0_30cm,symmetric_change,2*((siap_hist__yield_trend_recent)-(soilgrids__clay__depth_weighted_0_30cm)) / (abs(siap_hist__yield_trend_recent)+abs(soilgrids__clay__depth_weighted_0_30cm)+eps),0.6575467291377056
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,6,disc_expr_06__symmetric_change__siap_hist_yield_trend_recent__soilgrids_cec_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,symmetric_change,2*((siap_hist__yield_trend_recent)-(soilgrids__cec__depth_weighted_0_30cm)) / (abs(siap_hist__yield_trend_recent)+abs(soilgrids__cec__depth_weighted_0_30cm)+eps),0.6406425910757633
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,7,disc_expr_07__sum__siap_hist_yield_trend_recent__soilgrids_nitrogen_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__nitrogen__depth_weighted_0_30cm,sum,(siap_hist__yield_trend_recent) + (soilgrids__nitrogen__depth_weighted_0_30cm),0.6266712841105029
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,8,disc_expr_08__reverse_safe_ratio__siap_hist_yield_trend_recent__soilgrids_nitrogen_depth_weighted_0_30cm,siap_hist__yield_trend_recent,soilgrids__nitrogen__depth_weighted_0_30cm,reverse_safe_ratio,(soilgrids__nitrogen__depth_weighted_0_30cm) / (abs(siap_hist__yield_trend_recent) + eps),0.6069601079457717
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,9,disc_expr_09__reverse_safe_ratio__siap_hist_yield_trend_recent__agro_soil_soc_x_cec,siap_hist__yield_trend_recent,agro_soil__soc_x_cec,reverse_safe_ratio,(agro_soil__soc_x_cec) / (abs(siap_hist__yield_trend_recent) + eps),0.6041509313028043
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,10,disc_expr_10__product__siap_hist_yield_mean_recent__soilgrids_soc_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__soc__depth_weighted_0_30cm,product,(siap_hist__yield_mean_recent) * (soilgrids__soc__depth_weighted_0_30cm),0.6031077811505761
fold_state_stratified,clean,B7_all_plus_discovery,Ridge10,2,11,disc_expr_11__product__siap_hist_yield_mean_recent__soilgrids_nitrogen_depth_weighted_0_30cm,siap_hist__yield_mean_recent,soilgrids__nitrogen__depth_weighted_0_30cm,product,(siap_hist__yield_mean_recent) * (soilgrids__nitrogen__depth_weighted_0_30cm),0.6013489961427471
