protocol,track,representation,model,fold,n_features,n_discovered,n_train,n_validation,rmse,mae,r2,target_mean,target_std
fold_state_stratified,clean,B0_base,Ridge10,1,692,0,110,28,0.7069200764807811,0.538706915112227,0.33263878658561463,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B0_base,Ridge10,2,692,0,110,28,0.6241475985346205,0.5082269650638535,0.39766442663996604,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B0_base,Ridge10,3,692,0,110,28,0.6858244453956333,0.5271774530322116,0.3375654165816885,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B0_base,Ridge10,4,692,0,111,27,0.7108278474346096,0.5349981900189749,0.3205987224622926,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B0_base,Ridge10,5,692,0,111,27,0.6256568015179932,0.48912691735549835,0.44660154756524006,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B0_base,Ridge10,1,692,0,105,33,0.6546811500448255,0.5355010742950991,-2.0210580424333506,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B0_base,Ridge10,2,692,0,122,16,1.3556124896480553,1.2436426818830626,-9.41043188437682,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B0_base,Ridge10,3,692,0,128,10,0.7985019530384202,0.6365082501188842,-18.944489005166588,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B0_base,Ridge10,4,692,0,65,73,0.8313073183170685,0.6947601371923792,-0.9359678407155743,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B0_base,Ridge10,5,692,0,132,6,0.9184029920587173,0.814881721464476,-0.3464247679642496,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B0_base,ExtraTrees,1,692,0,110,28,0.5770696133510137,0.409212987528345,0.5552901556948044,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B0_base,ExtraTrees,2,692,0,110,28,0.5004904102594784,0.4124671513605444,0.6126929286936998,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B0_base,ExtraTrees,3,692,0,110,28,0.4306956974072828,0.3185422619047622,0.738748891452366,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B0_base,ExtraTrees,4,692,0,111,27,0.5558004828910933,0.35386779835390925,0.5846298035830209,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B0_base,ExtraTrees,5,692,0,111,27,0.48266484838184964,0.3790173427395645,0.6706505502589264,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B0_base,ExtraTrees,1,692,0,105,33,0.8864357423794464,0.8022627777777789,-4.5385223710390585,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B0_base,ExtraTrees,2,692,0,122,16,1.149986560011448,1.0732053819444447,-6.491747877428255,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B0_base,ExtraTrees,3,692,0,128,10,0.8779011763312526,0.8677522777777783,-23.10805703662286,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B0_base,ExtraTrees,4,692,0,65,73,0.9450019802748375,0.8524684322678845,-1.501729607442925,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B0_base,ExtraTrees,5,692,0,132,6,0.6774015841153507,0.6531363888888897,0.26749949575287824,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B1_agronomic,Ridge10,1,123,0,110,28,0.6403607843203204,0.4424161563841768,0.4523919971595879,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B1_agronomic,Ridge10,2,123,0,110,28,0.551927330292175,0.4593148865667099,0.5289926273933798,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B1_agronomic,Ridge10,3,123,0,110,28,0.4989781250308983,0.3797920932790174,0.6493449571258256,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B1_agronomic,Ridge10,4,123,0,111,27,0.673345640921011,0.49041381891937547,0.39035979809142063,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B1_agronomic,Ridge10,5,123,0,111,27,0.5651738821415004,0.405102039032061,0.5484251274719995,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B1_agronomic,Ridge10,1,123,0,105,33,0.9742265106691111,0.7117947215932482,-5.6898947136865194,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B1_agronomic,Ridge10,2,123,0,122,16,1.4397832824143693,1.35381674720544,-10.743346547508148,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B1_agronomic,Ridge10,3,123,0,128,10,0.8190664908389464,0.771871496352285,-19.985014120404927,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B1_agronomic,Ridge10,4,123,0,65,73,0.8790441494871049,0.7102519481914676,-1.1646929704013047,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B1_agronomic,Ridge10,5,123,0,132,6,0.5386945797994308,0.4473966398924534,0.5367656843047756,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B1_agronomic,ExtraTrees,1,123,0,110,28,0.5478292416588952,0.3525835189909297,0.5992156537233251,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B1_agronomic,ExtraTrees,2,123,0,110,28,0.5161964382025263,0.41290699464886965,0.5880031341082999,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B1_agronomic,ExtraTrees,3,123,0,110,28,0.43091972166632114,0.32106748654871314,0.738477043799713,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B1_agronomic,ExtraTrees,4,123,0,111,27,0.5603378005069644,0.36608570938663487,0.577820312143059,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B1_agronomic,ExtraTrees,5,123,0,111,27,0.5074998168088819,0.3994909803057019,0.635885998321166,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B1_agronomic,ExtraTrees,1,123,0,105,33,0.7980285671967305,0.7000597643097644,-3.4888621872724315,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B1_agronomic,ExtraTrees,2,123,0,122,16,1.4316705709158446,1.3692212386513951,-10.611379500960037,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B1_agronomic,ExtraTrees,3,123,0,128,10,1.0009650051359444,0.9723713875661378,-30.340703228339954,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B1_agronomic,ExtraTrees,4,123,0,65,73,0.749025136997853,0.6440628487123429,-0.5716929916401945,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B1_agronomic,ExtraTrees,5,123,0,132,6,0.4406423231355736,0.38943471119929485,0.69005264920875,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B2_empirical,Ridge10,1,91,0,110,28,0.7646780671308545,0.5764406267573514,0.21913204987077894,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B2_empirical,Ridge10,2,91,0,110,28,0.5770934761448575,0.46656411224096306,0.48506046705341066,4.050714285714286,0.818964696799059
