protocol,representation,model,fold,candidate,params_json,inner_rmse_mean,inner_rmse_std,rank
fold_state_stratified,C0_base,Ridge,1,0,"{""alpha"": 0.1}",0.6263556177168069,0.016775700634221978,5
fold_state_stratified,C0_base,Ridge,1,1,"{""alpha"": 1.0}",0.6248212704946717,0.017462365963465416,4
fold_state_stratified,C0_base,Ridge,1,2,"{""alpha"": 10.0}",0.6112968289141977,0.023514909379494332,3
fold_state_stratified,C0_base,Ridge,1,3,"{""alpha"": 100.0}",0.5539174674386041,0.04874097427519727,2
fold_state_stratified,C0_base,Ridge,1,4,"{""alpha"": 1000.0}",0.5228489518811702,0.07359944441885068,1
fold_state_stratified,C0_base,Ridge,1,5,"{""alpha"": 10000.0}",0.6343062433943508,0.07791102004665347,6
fold_state_stratified,C0_base,ElasticNet,1,0,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.6117555606006025,0.02534192653336548,4
fold_state_stratified,C0_base,ElasticNet,1,1,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",0.6059821265328968,0.019638897755715794,3
fold_state_stratified,C0_base,ElasticNet,1,2,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.6274290119346094,0.01910610750988891,5
fold_state_stratified,C0_base,ElasticNet,1,3,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",0.515328653439222,0.05649246429451264,2
fold_state_stratified,C0_base,ElasticNet,1,4,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",0.5117920226826181,0.06375788184888673,1
fold_state_stratified,C0_base,ElasticNet,1,5,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",0.8512305452369843,0.06369548210906123,6
fold_state_stratified,C0_base,ExtraTrees,1,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",0.5009421166202367,0.04888996387121284,4
fold_state_stratified,C0_base,ExtraTrees,1,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}",0.5027156396886391,0.05025894124197883,5
fold_state_stratified,C0_base,ExtraTrees,1,2,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}",0.5127437694243248,0.05418813600470069,6
fold_state_stratified,C0_base,ExtraTrees,1,3,"{""max_features"": 0.3, ""min_samples_leaf"": 2}",0.49659693963756113,0.03735029474333189,3
fold_state_stratified,C0_base,ExtraTrees,1,4,"{""max_features"": 0.3, ""min_samples_leaf"": 3}",0.49103248730481425,0.041408951325287394,2
fold_state_stratified,C0_base,ExtraTrees,1,5,"{""max_features"": 0.3, ""min_samples_leaf"": 5}",0.4907911326449481,0.03990732032955369,1
fold_state_stratified,C0_base,CatBoost,1,0,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",0.4996903942411965,0.06795748407109455,2
fold_state_stratified,C0_base,CatBoost,1,1,"{""depth"": 4, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.06}",0.5056797144194377,0.06015627153926015,3
