protocol,representation,model,fold,n_features,n_primitives,n_discovered,n_train,n_validation,inner_best_rmse,best_params_json,catboost_task_type,elapsed_seconds,rmse,mae,r2
fold_state_stratified,C0_base,Ridge,1,1400,0,0,110,28,0.5228489518811702,"{""alpha"": 1000.0}",,0.4514567998703569,0.5443696616400187,0.3947610685120764,0.6042616328173323
fold_state_stratified,C0_base,ElasticNet,1,1400,0,0,110,28,0.5117920226826181,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",,1.6416034998837858,0.551002748112947,0.3913186575979177,0.5945588170027054
fold_state_stratified,C0_base,ExtraTrees,1,1400,0,0,110,28,0.4907911326449481,"{""max_features"": 0.3, ""min_samples_leaf"": 5}",,3.90901770000346,0.5646168976421391,0.40244405328798233,0.5742760594040786
fold_state_stratified,C0_base,CatBoost,1,1400,0,0,110,28,0.498204756542969,"{""depth"": 5, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.06}",GPU,36.58497099997476,0.5699035929011484,0.3906588022622587,0.5662663464625665
fold_state_stratified,C0_base,PLS,1,1400,0,0,110,28,0.5286141919110988,"{""n_components"": 2}",,0.4766220999881625,0.5741129946554542,0.4194609148788307,0.5598354276056267
fold_state_stratified,C0_base,PCA_RBF,1,1400,0,0,110,28,4.046237690796995,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.8361730000469834,3.9635170812037055,3.869811723097915,-19.978855855325044
fold_state_stratified,C0_base,PCA_Poly2,1,1400,0,0,110,28,1.0035680259402078,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.817675800062716,0.7735889844538612,0.5827744438693634,0.20082684968248476
fold_state_stratified,C0_base,Ridge,2,1400,0,0,110,28,0.5197001497674424,"{""alpha"": 1000.0}",,0.433652900159359,0.5169417066313996,0.41763678369337953,0.5868126186859335
fold_state_stratified,C0_base,ElasticNet,2,1400,0,0,110,28,0.548013227397897,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",,2.0360655998811126,0.5113333311959707,0.4057201156817337,0.5957294443719277
fold_state_stratified,C0_base,ExtraTrees,2,1400,0,0,110,28,0.5020373938400126,"{""max_features"": 0.3, ""min_samples_leaf"": 3}",,4.014677899889648,0.48425047696839835,0.3731511011904755,0.6374198539868703
fold_state_stratified,C0_base,CatBoost,2,1400,0,0,110,28,0.5274491539548399,"{""depth"": 5, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}",GPU,36.59008869994432,0.5364741975648603,0.4018853460874266,0.5549983893397777
fold_state_stratified,C0_base,PLS,2,1400,0,0,110,28,0.5358326891366417,"{""n_components"": 2}",,0.45499460003338754,0.525710802954993,0.41099982726170126,0.5726755835079321
fold_state_stratified,C0_base,PCA_RBF,2,1400,0,0,110,28,4.00970539572869,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.8070465000346303,4.101008282055033,4.021382703669042,-25.004301812114253
