representation,model,grouped_oof_rmse,state_oof_rmse,mean_oof_rmse,worst_protocol_rmse,protocol_gap
C0_base,PLS,0.7620757467428849,0.5339064961125122,0.6479911214276985,0.7620757467428849,0.22816925063037274
C3_base_agro_plus_discovery,Ridge,0.7649664180669214,0.5330858479627509,0.6490261330148361,0.7649664180669214,0.2318805701041705
C1_agronomic,CatBoost,0.7708866981780089,0.5234559960064284,0.6471713470922187,0.7708866981780089,0.24743070217158047
C0_base,Ridge,0.7871765504006215,0.5281201745597285,0.657648362480175,0.7871765504006215,0.259056375840893
C3_base_agro_plus_discovery,PLS,0.7883866040080848,0.5259556183559607,0.6571711111820228,0.7883866040080848,0.2624309856521241
C2_all_plus_discovery,PLS,0.7997908123966698,0.5351767260300878,0.6674837692133788,0.7997908123966698,0.264614086366582
C1_agronomic,PLS,0.8344581109701169,0.5369408657339305,0.6856994883520238,0.8344581109701169,0.2975172452361864
C1_agronomic,ExtraTrees,0.8469116405691622,0.5023553467496158,0.674633493659389,0.8469116405691622,0.34455629381954644
C3_base_agro_plus_discovery,ExtraTrees,0.8697980390137472,0.4971786586150675,0.6834883488144073,0.8697980390137472,0.3726193803986797
C2_all_plus_discovery,CatBoost,0.8705989389729965,0.5313320752821131,0.7009655071275548,0.8705989389729965,0.3392668636908833
C0_base,ExtraTrees,0.8770916221651468,0.5057436434798088,0.6914176328224778,0.8770916221651468,0.371347978685338
C3_base_agro_plus_discovery,CatBoost,0.8883238314640453,0.529811978594876,0.7090679050294606,0.8883238314640453,0.3585118528691692
C2_all_plus_discovery,Ridge,0.895586043030486,0.5430998182209366,0.7193429306257113,0.895586043030486,0.3524862248095494
C0_base,CatBoost,0.9043721817120137,0.5325518179629916,0.7184619998375026,0.9043721817120137,0.37182036374902216
C2_all_plus_discovery,ExtraTrees,0.9052034113906573,0.4995705016490194,0.7023869565198384,0.9052034113906573,0.4056329097416379
C1_agronomic,Ridge,1.0053134998907673,0.5618058938916648,0.7835596968912161,1.0053134998907673,0.44350760599910255
C1_agronomic,ElasticNet,1.0350813912234968,0.5250256678575353,0.7800535295405161,1.0350813912234968,0.5100557233659615
C0_base,ElasticNet,1.0569443782351757,0.5198328134757381,0.7883885958554568,1.0569443782351757,0.5371115647594377
C2_all_plus_discovery,ElasticNet,1.0645647223021777,0.5246002475322906,0.7945824849172342,1.0645647223021777,0.5399644747698871
C3_base_agro_plus_discovery,ElasticNet,1.0655274242989836,0.5218099944347282,0.793668709366856,1.0655274242989836,0.5437174298642554
C1_agronomic,PCA_Poly2,1.6296365379605504,0.7247559853285536,1.177196261644552,1.6296365379605504,0.9048805526319968
C0_base,PCA_Poly2,1.925291950802566,0.7704446932847864,1.3478683220436762,1.925291950802566,1.1548472575177797
C2_all_plus_discovery,PCA_Poly2,2.161347368948746,0.7567660346169677,1.4590567017828568,2.161347368948746,1.4045813343317781
C3_base_agro_plus_discovery,PCA_Poly2,2.2170095729862354,0.7460258828901284,1.481517727938182,2.2170095729862354,1.4709836900961069
C1_agronomic,PCA_RBF,3.9711825914541508,3.2431077295663853,3.6071451605102682,3.9711825914541508,0.7280748618877655
C0_base,PCA_RBF,4.045186105635303,4.02156616738933,4.033376136512317,4.045186105635303,0.023619938245973415
C3_base_agro_plus_discovery,PCA_RBF,4.0452466679231165,4.02865922450937,4.0369529462162435,4.0452466679231165,0.016587443413746072
C2_all_plus_discovery,PCA_RBF,4.0452569484516046,4.0348546634993525,4.040055805975479,4.0452569484516046,0.010402284952252039
