neighbor_scope,metric,representation,query_id,query_split,neighbor_id,neighbor_split,rank,distance,same_state,same_municipality,neighbor_y
target_to_train,euclidean_pca,C0_base,AGC_003,PREDICCION,AGC_081,ENTRENAMIENTO,1,35.58741607253645,True,True,3.7
target_to_train,euclidean_pca,C0_base,AGC_003,PREDICCION,AGC_084,ENTRENAMIENTO,2,38.06260048681379,True,False,4.54
target_to_train,euclidean_pca,C0_base,AGC_003,PREDICCION,AGC_064,ENTRENAMIENTO,3,39.02225778771884,True,False,4.51
target_to_train,euclidean_pca,C0_base,AGC_003,PREDICCION,AGC_080,ENTRENAMIENTO,4,39.96033953587239,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_003,PREDICCION,AGC_152,ENTRENAMIENTO,5,41.78076547092594,True,False,4.87
target_to_train,euclidean_pca,C0_base,AGC_011,PREDICCION,AGC_017,ENTRENAMIENTO,1,20.090715559225856,True,True,4.98
target_to_train,euclidean_pca,C0_base,AGC_011,PREDICCION,AGC_055,ENTRENAMIENTO,2,21.015322339438214,True,True,5.45
target_to_train,euclidean_pca,C0_base,AGC_011,PREDICCION,AGC_015,ENTRENAMIENTO,3,22.030976648696658,True,True,2.64
target_to_train,euclidean_pca,C0_base,AGC_011,PREDICCION,AGC_176,ENTRENAMIENTO,4,23.131713141903955,True,True,4.38
target_to_train,euclidean_pca,C0_base,AGC_011,PREDICCION,AGC_159,ENTRENAMIENTO,5,25.154045708861975,True,True,4.77
target_to_train,euclidean_pca,C0_base,AGC_016,PREDICCION,AGC_150,ENTRENAMIENTO,1,32.423726287689725,True,True,4.52
target_to_train,euclidean_pca,C0_base,AGC_016,PREDICCION,AGC_022,ENTRENAMIENTO,2,34.15394899383168,True,True,4.55
target_to_train,euclidean_pca,C0_base,AGC_016,PREDICCION,AGC_026,ENTRENAMIENTO,3,38.12884797157569,True,True,3.55
target_to_train,euclidean_pca,C0_base,AGC_016,PREDICCION,AGC_024,ENTRENAMIENTO,4,38.931379895804604,True,True,3.03
target_to_train,euclidean_pca,C0_base,AGC_016,PREDICCION,AGC_184,ENTRENAMIENTO,5,39.36253809516543,False,False,4.47
target_to_train,euclidean_pca,C0_base,AGC_025,PREDICCION,AGC_037,ENTRENAMIENTO,1,13.684998367724063,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_025,PREDICCION,AGC_141,ENTRENAMIENTO,2,15.534734605792638,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_025,PREDICCION,AGC_099,ENTRENAMIENTO,3,17.60126620425642,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_025,PREDICCION,AGC_163,ENTRENAMIENTO,4,17.791987652598777,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_025,PREDICCION,AGC_058,ENTRENAMIENTO,5,18.336935711840056,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_027,PREDICCION,AGC_103,ENTRENAMIENTO,1,23.269522179044095,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_027,PREDICCION,AGC_145,ENTRENAMIENTO,2,27.214339791015515,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_027,PREDICCION,AGC_048,ENTRENAMIENTO,3,28.280538999957916,True,False,2.5
target_to_train,euclidean_pca,C0_base,AGC_027,PREDICCION,AGC_019,ENTRENAMIENTO,4,28.754447191604168,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_027,PREDICCION,AGC_112,ENTRENAMIENTO,5,29.134849226628763,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_028,PREDICCION,AGC_060,ENTRENAMIENTO,1,28.82116857819042,True,True,4.52
target_to_train,euclidean_pca,C0_base,AGC_028,PREDICCION,AGC_181,ENTRENAMIENTO,2,29.239738134464442,True,True,4.51
target_to_train,euclidean_pca,C0_base,AGC_028,PREDICCION,AGC_064,ENTRENAMIENTO,3,30.842087131796237,False,False,4.51
target_to_train,euclidean_pca,C0_base,AGC_028,PREDICCION,AGC_057,ENTRENAMIENTO,4,32.684655746141544,True,True,4.55
target_to_train,euclidean_pca,C0_base,AGC_028,PREDICCION,AGC_172,ENTRENAMIENTO,5,33.46872339832468,True,True,5.19
target_to_train,euclidean_pca,C0_base,AGC_029,PREDICCION,AGC_123,ENTRENAMIENTO,1,64.63242928924828,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_029,PREDICCION,AGC_054,ENTRENAMIENTO,2,65.35100162892908,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_029,PREDICCION,AGC_122,ENTRENAMIENTO,3,65.5789195309582,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_029,PREDICCION,AGC_001,ENTRENAMIENTO,4,66.19848237485715,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_029,PREDICCION,AGC_114,ENTRENAMIENTO,5,67.81708598929951,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_030,PREDICCION,AGC_079,ENTRENAMIENTO,1,19.88867288346972,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_030,PREDICCION,AGC_070,ENTRENAMIENTO,2,20.425743059800087,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_030,PREDICCION,AGC_038,ENTRENAMIENTO,3,21.238256817729283,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_030,PREDICCION,AGC_034,ENTRENAMIENTO,4,21.378144873195605,True,True,2.0
target_to_train,euclidean_pca,C0_base,AGC_030,PREDICCION,AGC_194,ENTRENAMIENTO,5,21.485602206131023,True,True,3.2
target_to_train,euclidean_pca,C0_base,AGC_031,PREDICCION,AGC_167,ENTRENAMIENTO,1,28.176298010624382,True,True,4.54
target_to_train,euclidean_pca,C0_base,AGC_031,PREDICCION,AGC_139,ENTRENAMIENTO,2,29.29746743791998,True,True,4.67
target_to_train,euclidean_pca,C0_base,AGC_031,PREDICCION,AGC_195,ENTRENAMIENTO,3,31.170510821235673,True,True,3.68
target_to_train,euclidean_pca,C0_base,AGC_031,PREDICCION,AGC_010,ENTRENAMIENTO,4,31.239449833101,True,True,4.1
target_to_train,euclidean_pca,C0_base,AGC_031,PREDICCION,AGC_115,ENTRENAMIENTO,5,31.264992697843187,True,True,4.6
target_to_train,euclidean_pca,C0_base,AGC_036,PREDICCION,AGC_010,ENTRENAMIENTO,1,14.135041842761288,True,True,4.1
target_to_train,euclidean_pca,C0_base,AGC_036,PREDICCION,AGC_195,ENTRENAMIENTO,2,18.616874292027216,True,True,3.68
target_to_train,euclidean_pca,C0_base,AGC_036,PREDICCION,AGC_104,ENTRENAMIENTO,3,18.645952389553113,True,True,4.56
target_to_train,euclidean_pca,C0_base,AGC_036,PREDICCION,AGC_106,ENTRENAMIENTO,4,18.770288516397112,True,True,4.43
target_to_train,euclidean_pca,C0_base,AGC_036,PREDICCION,AGC_125,ENTRENAMIENTO,5,19.269174840487896,True,True,4.06
target_to_train,euclidean_pca,C0_base,AGC_039,PREDICCION,AGC_144,ENTRENAMIENTO,1,10.101519082640102,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_039,PREDICCION,AGC_123,ENTRENAMIENTO,2,14.136125224582297,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_039,PREDICCION,AGC_019,ENTRENAMIENTO,3,21.953463929145546,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_039,PREDICCION,AGC_054,ENTRENAMIENTO,4,22.09652396004887,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_039,PREDICCION,AGC_145,ENTRENAMIENTO,5,22.841907892800823,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_042,PREDICCION,AGC_041,ENTRENAMIENTO,1,18.69877657315434,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_042,PREDICCION,AGC_194,ENTRENAMIENTO,2,19.854552901593784,True,True,3.2
target_to_train,euclidean_pca,C0_base,AGC_042,PREDICCION,AGC_166,ENTRENAMIENTO,3,20.164827192883166,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_042,PREDICCION,AGC_034,ENTRENAMIENTO,4,20.324330748617285,True,True,2.0
target_to_train,euclidean_pca,C0_base,AGC_042,PREDICCION,AGC_038,ENTRENAMIENTO,5,21.673560069204317,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_043,PREDICCION,AGC_105,ENTRENAMIENTO,1,18.33542054365692,True,True,4.41
target_to_train,euclidean_pca,C0_base,AGC_043,PREDICCION,AGC_024,ENTRENAMIENTO,2,24.581737966516513,True,True,3.03
target_to_train,euclidean_pca,C0_base,AGC_043,PREDICCION,AGC_100,ENTRENAMIENTO,3,25.230852441087624,True,True,4.5
target_to_train,euclidean_pca,C0_base,AGC_043,PREDICCION,AGC_014,ENTRENAMIENTO,4,25.462493615818175,True,True,4.83
target_to_train,euclidean_pca,C0_base,AGC_043,PREDICCION,AGC_008,ENTRENAMIENTO,5,26.8687669840666,True,True,4.55
target_to_train,euclidean_pca,C0_base,AGC_050,PREDICCION,AGC_019,ENTRENAMIENTO,1,12.868595390636113,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_050,PREDICCION,AGC_144,ENTRENAMIENTO,2,17.29640943738585,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_050,PREDICCION,AGC_145,ENTRENAMIENTO,3,21.165632163130606,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_050,PREDICCION,AGC_103,ENTRENAMIENTO,4,22.05576834410199,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_050,PREDICCION,AGC_046,ENTRENAMIENTO,5,22.829332287159072,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_052,PREDICCION,AGC_064,ENTRENAMIENTO,1,19.54276371441129,True,True,4.51
target_to_train,euclidean_pca,C0_base,AGC_052,PREDICCION,AGC_041,ENTRENAMIENTO,2,21.022347642607293,True,False,2.5
target_to_train,euclidean_pca,C0_base,AGC_052,PREDICCION,AGC_166,ENTRENAMIENTO,3,24.646828608047198,True,False,2.5
target_to_train,euclidean_pca,C0_base,AGC_052,PREDICCION,AGC_081,ENTRENAMIENTO,4,26.455052860268605,True,False,3.7
target_to_train,euclidean_pca,C0_base,AGC_052,PREDICCION,AGC_194,ENTRENAMIENTO,5,27.932800276501563,True,False,3.2
target_to_train,euclidean_pca,C0_base,AGC_061,PREDICCION,AGC_098,ENTRENAMIENTO,1,22.21609452807322,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_061,PREDICCION,AGC_001,ENTRENAMIENTO,2,23.380626731695056,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_061,PREDICCION,AGC_114,ENTRENAMIENTO,3,24.972584032483642,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_061,PREDICCION,AGC_122,ENTRENAMIENTO,4,27.73048338964142,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_061,PREDICCION,AGC_123,ENTRENAMIENTO,5,28.225239034161383,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_063,PREDICCION,AGC_100,ENTRENAMIENTO,1,12.99539806720343,True,True,4.5
target_to_train,euclidean_pca,C0_base,AGC_063,PREDICCION,AGC_008,ENTRENAMIENTO,2,16.84174489041494,True,True,4.55
target_to_train,euclidean_pca,C0_base,AGC_063,PREDICCION,AGC_195,ENTRENAMIENTO,3,24.454905694736066,True,True,3.68
