split_id,family,repeat,ID_POLIGONO,meta_estado,meta_municipio,role
target_matched_01,target_matched,1,AGC_001,Tlaxcala,Calpulalpan,pseudo_target
target_matched_01,target_matched,1,AGC_002,Puebla,Chignahuapan,pseudo_target
target_matched_01,target_matched,1,AGC_004,Tlaxcala,Calpulalpan,pseudo_train
target_matched_01,target_matched,1,AGC_005,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_006,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_007,Hidalgo,Singuilucan,pseudo_target
target_matched_01,target_matched,1,AGC_008,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_009,Hidalgo,Cuautepec de Hinojosa,pseudo_target
target_matched_01,target_matched,1,AGC_010,Puebla,Chignahuapan,pseudo_target
target_matched_01,target_matched,1,AGC_012,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_013,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_014,Puebla,Chignahuapan,pseudo_target
target_matched_01,target_matched,1,AGC_015,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_017,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_018,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_019,Tlaxcala,Calpulalpan,pseudo_train
target_matched_01,target_matched,1,AGC_020,Hidalgo,Emiliano Zapata,pseudo_train
target_matched_01,target_matched,1,AGC_021,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_022,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_023,Tlaxcala,Calpulalpan,pseudo_target
target_matched_01,target_matched,1,AGC_024,Puebla,Chignahuapan,pseudo_target
target_matched_01,target_matched,1,AGC_026,Puebla,Chignahuapan,pseudo_target
target_matched_01,target_matched,1,AGC_032,Puebla,Chignahuapan,pseudo_target
target_matched_01,target_matched,1,AGC_033,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_034,Hidalgo,Singuilucan,pseudo_target
target_matched_01,target_matched,1,AGC_035,Hidalgo,Cuautepec de Hinojosa,pseudo_train
target_matched_01,target_matched,1,AGC_037,Tlaxcala,Calpulalpan,pseudo_train
target_matched_01,target_matched,1,AGC_038,Hidalgo,Singuilucan,pseudo_target
target_matched_01,target_matched,1,AGC_040,Tlaxcala,Calpulalpan,pseudo_target
target_matched_01,target_matched,1,AGC_041,Hidalgo,Singuilucan,pseudo_train
target_matched_01,target_matched,1,AGC_044,Hidalgo,Emiliano Zapata,pseudo_train
target_matched_01,target_matched,1,AGC_045,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_046,Tlaxcala,Calpulalpan,pseudo_train
target_matched_01,target_matched,1,AGC_047,Hidalgo,Tepeapulco,pseudo_train
target_matched_01,target_matched,1,AGC_048,Tlaxcala,Nanacamilpa de Mariano Arista,pseudo_train
target_matched_01,target_matched,1,AGC_049,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_051,Hidalgo,Almoloya,pseudo_train
target_matched_01,target_matched,1,AGC_053,Tlaxcala,Calpulalpan,pseudo_train
target_matched_01,target_matched,1,AGC_054,Tlaxcala,Calpulalpan,pseudo_train
target_matched_01,target_matched,1,AGC_055,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_056,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_057,Puebla,Chignahuapan,pseudo_target
target_matched_01,target_matched,1,AGC_058,Tlaxcala,Calpulalpan,pseudo_target
target_matched_01,target_matched,1,AGC_059,Hidalgo,Almoloya,pseudo_train
target_matched_01,target_matched,1,AGC_060,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_062,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_064,Hidalgo,Cuautepec de Hinojosa,pseudo_target
target_matched_01,target_matched,1,AGC_066,Tlaxcala,Calpulalpan,pseudo_train
target_matched_01,target_matched,1,AGC_067,Hidalgo,Singuilucan,pseudo_train
target_matched_01,target_matched,1,AGC_068,Tlaxcala,Calpulalpan,pseudo_target
target_matched_01,target_matched,1,AGC_069,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_070,Hidalgo,Singuilucan,pseudo_train
target_matched_01,target_matched,1,AGC_072,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_073,Puebla,Chignahuapan,pseudo_target
target_matched_01,target_matched,1,AGC_074,Tlaxcala,Calpulalpan,pseudo_train
target_matched_01,target_matched,1,AGC_077,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_078,Hidalgo,Singuilucan,pseudo_train
target_matched_01,target_matched,1,AGC_079,Hidalgo,Singuilucan,pseudo_target
target_matched_01,target_matched,1,AGC_080,Hidalgo,Singuilucan,pseudo_train
target_matched_01,target_matched,1,AGC_081,Hidalgo,Singuilucan,pseudo_train
target_matched_01,target_matched,1,AGC_083,Hidalgo,Cuautepec de Hinojosa,pseudo_train
target_matched_01,target_matched,1,AGC_084,Hidalgo,Almoloya,pseudo_train
target_matched_01,target_matched,1,AGC_089,Hidalgo,Singuilucan,pseudo_train
target_matched_01,target_matched,1,AGC_090,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_092,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_096,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_097,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_098,Tlaxcala,Calpulalpan,pseudo_target
target_matched_01,target_matched,1,AGC_099,Tlaxcala,Calpulalpan,pseudo_target
target_matched_01,target_matched,1,AGC_100,Puebla,Chignahuapan,pseudo_train
target_matched_01,target_matched,1,AGC_101,Puebla,Chignahuapan,pseudo_target
target_matched_01,target_matched,1,AGC_102,Puebla,Chignahuapan,pseudo_train
