method,fold_municipality_grouped,fold_state_stratified,state_random,target_matched,mean_family_rmse,worst_family_rmse
GraphDirect_GeoAgro25_k6_lam8,0.5278830300557841,0.4791609071555187,0.4679362248678275,0.4948813033518763,0.4924653663577516,0.5278830300557841
GraphDirect_GeoAgro25_k10_lam2,0.5292405121976055,0.47893567129914355,0.4673811912141216,0.4955403842594708,0.49277443974258534,0.5292405121976055
GraphDirect_GeoAgro25_k6_lam4,0.5342945588238057,0.4785847296233293,0.46696269602142443,0.495064946522078,0.4937267327476593,0.5342945588238057
Baseline_GeoKNN10,0.6493431344725727,0.4866252932566966,0.4698812353509911,0.5020772232487754,0.526981721582259,0.6493431344725727
GraphResidualPLS4_GeoAgro25_k8_lam8,0.6787961172984236,0.5216192966324894,0.49151978093700177,0.537430008316317,0.5573413007960579,0.6787961172984236
GraphResidualPLS4_GeoAgro25_k10_lam8,0.6839281935594276,0.522294193664844,0.49153011347883496,0.5375342050670304,0.5588216764425342,0.6839281935594276
GraphResidualPLS4_GeoAgro25_k12_lam4,0.6841307828117806,0.5226141481276418,0.49189337303772696,0.5377685381127311,0.5591017105224702,0.6841307828117806
LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.6869611621570035,0.4753718919764747,0.47098064250416155,0.48784531674343823,0.5302897533452695,0.6869611621570035
LocalRidge_C1_agronomic_Geo_k24_a30_p1,0.6884221294270336,0.47508339681918743,0.4736807546921645,0.4884970412392552,0.5314208305444101,0.6884221294270336
Anchor_PLS4,0.7107095769233471,0.5399185884942961,0.5017486131763634,0.5378519895717773,0.572557192041446,0.7107095769233471
LocalRidge_C1_agronomic_Geo_k30_a30_p1,0.7193630137308786,0.47555288225248543,0.4710059142069533,0.4883016074422816,0.5385558544081498,0.7193630137308786
