holdout_split,selected_method,selection_rmse,holdout_rmse,holdout_mae,holdout_r2
target_matched_01,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.48262785322240814,0.5661072695588897,0.3487344108678582,0.5239077399544807
target_matched_02,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.4912557460601328,0.43668887699302006,0.3364077333260355,0.7104232787502933
target_matched_03,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.4853179763809697,0.5257554221804668,0.3532082996391478,0.6112332388313146
target_matched_04,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.4943174483669777,0.3907633423903467,0.3198343210860897,0.7568432465783133
target_matched_05,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.48785619509358374,0.4876821414912561,0.31866528816943795,0.6111556306664321
target_matched_06,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.4911114162173373,0.43885382463495287,0.33837729836912356,0.734909196348617
target_matched_07,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.4851197496305733,0.528728823436413,0.3626908488537907,0.6568945347932211
target_matched_08,LocalRidge_C1_agronomic_Geo_k30_a30_p1,0.49548461955380785,0.38055642576938803,0.28761531013438907,0.7472475871142141
target_matched_09,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.48615289642677517,0.5132316214933844,0.324076198932415,0.6050901575989929
target_matched_10,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.48295997160874116,0.5611254937638944,0.40929878415140214,0.5995614937905169
target_matched_11,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.49038159421069144,0.4498011547346402,0.2704543216360458,0.7069761771693173
target_matched_12,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.4794696882742764,0.6134797437808664,0.42585733493173544,0.5696457693598933
target_matched_13,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.49528420677559365,0.37626196626110725,0.3040067205178159,0.7899244242578167
target_matched_14,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.4906555135302765,0.4456923649408648,0.3291966649367132,0.7573745156386278
target_matched_15,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.47405502943681993,0.6946996263427135,0.44968819814601874,0.33215163371901224
target_matched_16,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.4934066050795584,0.4044259917016354,0.30144516690098005,0.7585033033465893
