holdout_split,x_support_tier,selected_method,selection_rmse
target_matched_01,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.38336785777598426
target_matched_01,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5368125275090594
target_matched_01,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.28005354168288743
target_matched_02,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.39460435117413867
target_matched_02,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5554104669922392
target_matched_02,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.2714998331809294
target_matched_03,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.3806396442157229
target_matched_03,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5442957300800726
target_matched_03,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.28049131830478513
target_matched_04,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.3882366631541746
target_matched_04,mid,LocalRidge_C1_agronomic_Geo_k16_a30_p1,0.5624887485011435
target_matched_04,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.2789044072453655
target_matched_05,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.3927603174476461
target_matched_05,mid,LocalRidge_C1_agronomic_Geo_k30_a30_p1,0.543608006590721
target_matched_05,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.2799251771619808
target_matched_06,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.3833280973484952
target_matched_06,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5558519403215381
target_matched_06,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.28904592675180146
target_matched_07,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.389510412323087
target_matched_07,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5455517756097495
target_matched_07,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.2806977080235217
target_matched_08,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.38907211447268264
target_matched_08,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5617838754846064
target_matched_08,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.28135348169439867
target_matched_09,low,LocalRidge_C4_all_deterministic_GeoAgro50_k24_a30_p1,0.39953215833291494
target_matched_09,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5448734506894745
target_matched_09,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.2875256185319274
target_matched_10,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.38186489233181764
target_matched_10,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5440324767113957
target_matched_10,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.27792619150169456
target_matched_11,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.39449343829699746
target_matched_11,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5521841431580654
target_matched_11,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.28289680036390535
target_matched_12,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.39158878455608975
target_matched_12,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5382283852310262
target_matched_12,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.2900957459285018
target_matched_13,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.39196508796345314
target_matched_13,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5610765220300732
target_matched_13,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.2749538379180606
target_matched_14,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.3885144979589617
target_matched_14,mid,LocalRidge_C4_all_deterministic_Geo_k30_a30_p1,0.5549447378935665
target_matched_14,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a100_p2,0.2784186515939025
target_matched_15,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.38441730439760297
target_matched_15,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5292032792703097
target_matched_15,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.2789969538631722
target_matched_16,low,LocalRidge_C4_all_deterministic_GeoAgro50_k30_a30_p0p5,0.392924586341907
target_matched_16,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,0.5559911356698752
target_matched_16,high,LocalRidge_C1_agronomic_GeoAgro50_k40_a30_p2,0.28688774403378614
