method,method_family,kind,representation,distance_name,k,alpha,distance_power,regularization
Baseline_GeoKNN10,baseline,geo_knn,,Geo,10.0,,1.0,
Anchor_PLS4,baseline,pls_anchor,C0_base,,,,,
GraphDirect_Geo_k4_lam0p25,graph_direct,graph_direct,,Geo,4.0,,,0.25
GraphResidualPLS4_Geo_k4_lam0p25,graph_residual,graph_residual,C0_base,Geo,4.0,,,0.25
GraphDirect_Geo_k4_lam0p5,graph_direct,graph_direct,,Geo,4.0,,,0.5
GraphResidualPLS4_Geo_k4_lam0p5,graph_residual,graph_residual,C0_base,Geo,4.0,,,0.5
GraphDirect_Geo_k4_lam1,graph_direct,graph_direct,,Geo,4.0,,,1.0
GraphResidualPLS4_Geo_k4_lam1,graph_residual,graph_residual,C0_base,Geo,4.0,,,1.0
GraphDirect_Geo_k4_lam2,graph_direct,graph_direct,,Geo,4.0,,,2.0
GraphResidualPLS4_Geo_k4_lam2,graph_residual,graph_residual,C0_base,Geo,4.0,,,2.0
GraphDirect_Geo_k4_lam4,graph_direct,graph_direct,,Geo,4.0,,,4.0
GraphResidualPLS4_Geo_k4_lam4,graph_residual,graph_residual,C0_base,Geo,4.0,,,4.0
GraphDirect_Geo_k4_lam8,graph_direct,graph_direct,,Geo,4.0,,,8.0
GraphResidualPLS4_Geo_k4_lam8,graph_residual,graph_residual,C0_base,Geo,4.0,,,8.0
GraphDirect_Geo_k6_lam0p25,graph_direct,graph_direct,,Geo,6.0,,,0.25
GraphResidualPLS4_Geo_k6_lam0p25,graph_residual,graph_residual,C0_base,Geo,6.0,,,0.25
GraphDirect_Geo_k6_lam0p5,graph_direct,graph_direct,,Geo,6.0,,,0.5
GraphResidualPLS4_Geo_k6_lam0p5,graph_residual,graph_residual,C0_base,Geo,6.0,,,0.5
GraphDirect_Geo_k6_lam1,graph_direct,graph_direct,,Geo,6.0,,,1.0
GraphResidualPLS4_Geo_k6_lam1,graph_residual,graph_residual,C0_base,Geo,6.0,,,1.0
GraphDirect_Geo_k6_lam2,graph_direct,graph_direct,,Geo,6.0,,,2.0
GraphResidualPLS4_Geo_k6_lam2,graph_residual,graph_residual,C0_base,Geo,6.0,,,2.0
GraphDirect_Geo_k6_lam4,graph_direct,graph_direct,,Geo,6.0,,,4.0
GraphResidualPLS4_Geo_k6_lam4,graph_residual,graph_residual,C0_base,Geo,6.0,,,4.0
GraphDirect_Geo_k6_lam8,graph_direct,graph_direct,,Geo,6.0,,,8.0
GraphResidualPLS4_Geo_k6_lam8,graph_residual,graph_residual,C0_base,Geo,6.0,,,8.0
GraphDirect_Geo_k8_lam0p25,graph_direct,graph_direct,,Geo,8.0,,,0.25
GraphResidualPLS4_Geo_k8_lam0p25,graph_residual,graph_residual,C0_base,Geo,8.0,,,0.25
GraphDirect_Geo_k8_lam0p5,graph_direct,graph_direct,,Geo,8.0,,,0.5
GraphResidualPLS4_Geo_k8_lam0p5,graph_residual,graph_residual,C0_base,Geo,8.0,,,0.5
GraphDirect_Geo_k8_lam1,graph_direct,graph_direct,,Geo,8.0,,,1.0
GraphResidualPLS4_Geo_k8_lam1,graph_residual,graph_residual,C0_base,Geo,8.0,,,1.0
GraphDirect_Geo_k8_lam2,graph_direct,graph_direct,,Geo,8.0,,,2.0
GraphResidualPLS4_Geo_k8_lam2,graph_residual,graph_residual,C0_base,Geo,8.0,,,2.0
GraphDirect_Geo_k8_lam4,graph_direct,graph_direct,,Geo,8.0,,,4.0
GraphResidualPLS4_Geo_k8_lam4,graph_residual,graph_residual,C0_base,Geo,8.0,,,4.0
GraphDirect_Geo_k8_lam8,graph_direct,graph_direct,,Geo,8.0,,,8.0
GraphResidualPLS4_Geo_k8_lam8,graph_residual,graph_residual,C0_base,Geo,8.0,,,8.0
GraphDirect_Geo_k10_lam0p25,graph_direct,graph_direct,,Geo,10.0,,,0.25
GraphResidualPLS4_Geo_k10_lam0p25,graph_residual,graph_residual,C0_base,Geo,10.0,,,0.25
GraphDirect_Geo_k10_lam0p5,graph_direct,graph_direct,,Geo,10.0,,,0.5
GraphResidualPLS4_Geo_k10_lam0p5,graph_residual,graph_residual,C0_base,Geo,10.0,,,0.5
GraphDirect_Geo_k10_lam1,graph_direct,graph_direct,,Geo,10.0,,,1.0
GraphResidualPLS4_Geo_k10_lam1,graph_residual,graph_residual,C0_base,Geo,10.0,,,1.0
GraphDirect_Geo_k10_lam2,graph_direct,graph_direct,,Geo,10.0,,,2.0
GraphResidualPLS4_Geo_k10_lam2,graph_residual,graph_residual,C0_base,Geo,10.0,,,2.0
GraphDirect_Geo_k10_lam4,graph_direct,graph_direct,,Geo,10.0,,,4.0
GraphResidualPLS4_Geo_k10_lam4,graph_residual,graph_residual,C0_base,Geo,10.0,,,4.0
GraphDirect_Geo_k10_lam8,graph_direct,graph_direct,,Geo,10.0,,,8.0
GraphResidualPLS4_Geo_k10_lam8,graph_residual,graph_residual,C0_base,Geo,10.0,,,8.0
GraphDirect_Geo_k12_lam0p25,graph_direct,graph_direct,,Geo,12.0,,,0.25
GraphResidualPLS4_Geo_k12_lam0p25,graph_residual,graph_residual,C0_base,Geo,12.0,,,0.25
GraphDirect_Geo_k12_lam0p5,graph_direct,graph_direct,,Geo,12.0,,,0.5
GraphResidualPLS4_Geo_k12_lam0p5,graph_residual,graph_residual,C0_base,Geo,12.0,,,0.5
GraphDirect_Geo_k12_lam1,graph_direct,graph_direct,,Geo,12.0,,,1.0
GraphResidualPLS4_Geo_k12_lam1,graph_residual,graph_residual,C0_base,Geo,12.0,,,1.0
GraphDirect_Geo_k12_lam2,graph_direct,graph_direct,,Geo,12.0,,,2.0
GraphResidualPLS4_Geo_k12_lam2,graph_residual,graph_residual,C0_base,Geo,12.0,,,2.0
GraphDirect_Geo_k12_lam4,graph_direct,graph_direct,,Geo,12.0,,,4.0
GraphResidualPLS4_Geo_k12_lam4,graph_residual,graph_residual,C0_base,Geo,12.0,,,4.0
GraphDirect_Geo_k12_lam8,graph_direct,graph_direct,,Geo,12.0,,,8.0
GraphResidualPLS4_Geo_k12_lam8,graph_residual,graph_residual,C0_base,Geo,12.0,,,8.0
GraphDirect_GeoAgro90_k4_lam0p25,graph_direct,graph_direct,,GeoAgro90,4.0,,,0.25
GraphResidualPLS4_GeoAgro90_k4_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro90,4.0,,,0.25
GraphDirect_GeoAgro90_k4_lam0p5,graph_direct,graph_direct,,GeoAgro90,4.0,,,0.5
GraphResidualPLS4_GeoAgro90_k4_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro90,4.0,,,0.5
GraphDirect_GeoAgro90_k4_lam1,graph_direct,graph_direct,,GeoAgro90,4.0,,,1.0
GraphResidualPLS4_GeoAgro90_k4_lam1,graph_residual,graph_residual,C0_base,GeoAgro90,4.0,,,1.0
GraphDirect_GeoAgro90_k4_lam2,graph_direct,graph_direct,,GeoAgro90,4.0,,,2.0
GraphResidualPLS4_GeoAgro90_k4_lam2,graph_residual,graph_residual,C0_base,GeoAgro90,4.0,,,2.0
GraphDirect_GeoAgro90_k4_lam4,graph_direct,graph_direct,,GeoAgro90,4.0,,,4.0
GraphResidualPLS4_GeoAgro90_k4_lam4,graph_residual,graph_residual,C0_base,GeoAgro90,4.0,,,4.0
GraphDirect_GeoAgro90_k4_lam8,graph_direct,graph_direct,,GeoAgro90,4.0,,,8.0
GraphResidualPLS4_GeoAgro90_k4_lam8,graph_residual,graph_residual,C0_base,GeoAgro90,4.0,,,8.0
GraphDirect_GeoAgro90_k6_lam0p25,graph_direct,graph_direct,,GeoAgro90,6.0,,,0.25
GraphResidualPLS4_GeoAgro90_k6_lam0p25,graph_residual,graph_residual,C0_base,GeoAgro90,6.0,,,0.25
GraphDirect_GeoAgro90_k6_lam0p5,graph_direct,graph_direct,,GeoAgro90,6.0,,,0.5
GraphResidualPLS4_GeoAgro90_k6_lam0p5,graph_residual,graph_residual,C0_base,GeoAgro90,6.0,,,0.5
GraphDirect_GeoAgro90_k6_lam1,graph_direct,graph_direct,,GeoAgro90,6.0,,,1.0
GraphResidualPLS4_GeoAgro90_k6_lam1,graph_residual,graph_residual,C0_base,GeoAgro90,6.0,,,1.0
GraphDirect_GeoAgro90_k6_lam2,graph_direct,graph_direct,,GeoAgro90,6.0,,,2.0
GraphResidualPLS4_GeoAgro90_k6_lam2,graph_residual,graph_residual,C0_base,GeoAgro90,6.0,,,2.0
GraphDirect_GeoAgro90_k6_lam4,graph_direct,graph_direct,,GeoAgro90,6.0,,,4.0
GraphResidualPLS4_GeoAgro90_k6_lam4,graph_residual,graph_residual,C0_base,GeoAgro90,6.0,,,4.0
