holdout_split,selected_method,selected_graph_weight,selection_rmse,holdout_rmse,holdout_mae,holdout_r2
target_matched_01,LocalGraph_g0p25,0.25,0.48164120112980735,0.563675151791676,0.348003124781721,0.5279897406176308
target_matched_02,LocalGraph_g0p30,0.3,0.49015749563932876,0.43612048957174715,0.3276152520997579,0.7111766052464874
target_matched_03,LocalGraph_g0p30,0.3,0.484118265096919,0.5267089477078938,0.3533826107339242,0.6098218023698737
target_matched_04,LocalGraph_g0p20,0.2,0.4936737913319177,0.38421148226843627,0.31406125019257813,0.7649288216965312
target_matched_05,LocalGraph_g0p30,0.3,0.48622903459587086,0.4950474052236151,0.3195432681829684,0.5993218251926777
target_matched_06,LocalGraph_g0p25,0.25,0.4902407342137554,0.434682155532454,0.33437905619723635,0.7399250578619506
target_matched_07,LocalGraph_g0p30,0.3,0.4833633356774263,0.5380328890002841,0.36943638686304037,0.6447130046294596
target_matched_08,LocalGraph_g0p30,0.3,0.49395909445743624,0.37909650730013505,0.2881202689683547,0.7491831220433272
target_matched_09,LocalGraph_g0p20,0.2,0.48584158042577935,0.5016946458605109,0.3149651570929756,0.6226450274031282
target_matched_10,LocalGraph_g0p30,0.3,0.4816755908947093,0.5633490607410386,0.407873078972796,0.5963815775600043
target_matched_11,LocalGraph_g0p40,0.4,0.4885238989947045,0.46465222732347006,0.27640638365575426,0.687307226587552
target_matched_12,LocalGraph_g0p30,0.3,0.4781675197038891,0.6159701286033411,0.42774517053417005,0.5661446823123637
target_matched_13,LocalGraph_g0p25,0.25,0.4942674289122487,0.37428173505505574,0.3006051608240873,0.7921298213920644
target_matched_14,LocalGraph_g0p25,0.25,0.48969742474368805,0.4428317975834647,0.3253889254656302,0.7604789854978127
target_matched_15,LocalGraph_g0p25,0.25,0.4730135184956244,0.6930903913044197,0.45383567436705985,0.33524212111444474
target_matched_16,LocalGraph_g0p20,0.2,0.4930471987292781,0.3936103713080291,0.29415393110138666,0.771247345316344
