ID_POLIGONO,method,predicted
AGC_003,PLS_C0,3.839792816581899
AGC_011,PLS_C0,4.61537360561341
AGC_016,PLS_C0,4.56705505320746
AGC_025,PLS_C0,3.0198201384032552
AGC_027,PLS_C0,3.1311621425691505
AGC_028,PLS_C0,5.207987036484592
AGC_029,PLS_C0,1.9939964108512063
AGC_030,PLS_C0,3.1324471834540497
AGC_031,PLS_C0,4.782208181302916
AGC_036,PLS_C0,4.70718329338323
AGC_039,PLS_C0,3.052796942796032
AGC_042,PLS_C0,3.1511594097278555
AGC_043,PLS_C0,4.472536685744499
AGC_050,PLS_C0,3.133325522458228
AGC_052,PLS_C0,4.214670107333548
AGC_061,PLS_C0,3.118231068062138
AGC_063,PLS_C0,4.065769988281882
AGC_065,PLS_C0,3.897841539758399
AGC_071,PLS_C0,3.120041092289421
AGC_075,PLS_C0,3.2936767639766953
AGC_076,PLS_C0,4.542543760989491
AGC_082,PLS_C0,4.256570361094639
AGC_085,PLS_C0,4.272307484072959
AGC_086,PLS_C0,2.83604551359916
AGC_087,PLS_C0,2.756910700271778
AGC_088,PLS_C0,4.604959575365777
AGC_091,PLS_C0,4.76833528467428
AGC_093,PLS_C0,3.3445763484452407
AGC_094,PLS_C0,4.707165415912251
AGC_095,PLS_C0,4.8806248416355436
AGC_107,PLS_C0,4.1239931413973
AGC_113,PLS_C0,2.759937860536449
AGC_116,PLS_C0,4.2493821528429825
AGC_118,PLS_C0,3.4157732321544256
AGC_120,PLS_C0,3.38209644782069
AGC_126,PLS_C0,4.362314534611078
AGC_128,PLS_C0,4.097699379888577
AGC_129,PLS_C0,3.530851020175712
AGC_130,PLS_C0,4.182147247390001
AGC_136,PLS_C0,4.605784815092468
AGC_142,PLS_C0,4.772284113631962
AGC_143,PLS_C0,4.455032132348685
AGC_147,PLS_C0,2.8812589131005657
AGC_149,PLS_C0,4.254058924594872
AGC_153,PLS_C0,4.412888889431315
AGC_154,PLS_C0,4.801727763399819
AGC_156,PLS_C0,3.012461150384937
AGC_158,PLS_C0,3.9748443893660594
AGC_173,PLS_C0,2.448795797530599
AGC_174,PLS_C0,4.193746106165548
AGC_175,PLS_C0,5.045239689369854
AGC_177,PLS_C0,4.237822182369592
AGC_182,PLS_C0,4.447792502146899
AGC_183,PLS_C0,2.5123375242555803
AGC_186,PLS_C0,4.1853166564722395
AGC_188,PLS_C0,4.93427639685493
AGC_190,PLS_C0,4.426300885883131
AGC_191,PLS_C0,5.114505875652181
AGC_192,PLS_C0,4.69533801859316
AGC_003,Ridge_C3,3.9995459627448584
AGC_011,Ridge_C3,4.617004331151098
AGC_016,Ridge_C3,4.476562456565248
AGC_025,Ridge_C3,3.088548333209852
AGC_027,Ridge_C3,3.165301124451216
AGC_028,Ridge_C3,4.97717223235472
AGC_029,Ridge_C3,2.020268926375106
AGC_030,Ridge_C3,3.368118127577234
AGC_031,Ridge_C3,4.490215396793451
AGC_036,Ridge_C3,4.539689611329527
AGC_039,Ridge_C3,2.966795386098007
AGC_042,Ridge_C3,3.2346945051294176
AGC_043,Ridge_C3,4.518028708539624
AGC_050,Ridge_C3,3.0490937508663416
AGC_052,Ridge_C3,4.279571372591376
AGC_061,Ridge_C3,2.9736735909949283
AGC_063,Ridge_C3,4.176370432385344
AGC_065,Ridge_C3,4.057256478372881
AGC_071,Ridge_C3,3.1550421974167446
AGC_075,Ridge_C3,3.2442930419115408
AGC_076,Ridge_C3,4.473092051088695
AGC_082,Ridge_C3,4.1569760888013905
AGC_085,Ridge_C3,4.156019732695988
AGC_086,Ridge_C3,2.9471132048490176
AGC_087,Ridge_C3,2.828180771271711
AGC_088,Ridge_C3,4.298903418675731
AGC_091,Ridge_C3,4.680668252017865
AGC_093,Ridge_C3,3.265058994238636
AGC_094,Ridge_C3,4.714366704661911
AGC_095,Ridge_C3,4.728813133074339
AGC_107,Ridge_C3,4.260676866897149
AGC_113,Ridge_C3,3.0422885597602844
AGC_116,Ridge_C3,4.3395979087734515
AGC_118,Ridge_C3,3.5327121186115313
AGC_120,Ridge_C3,3.4860082233554235
AGC_126,Ridge_C3,4.290173778493134
AGC_128,Ridge_C3,4.230261249172083
AGC_129,Ridge_C3,3.63160368392034
AGC_130,Ridge_C3,4.283685423531218
AGC_136,Ridge_C3,4.451073264215075
AGC_142,Ridge_C3,4.513034503377364
AGC_143,Ridge_C3,4.554911346706167
AGC_147,Ridge_C3,2.783097824375597
AGC_149,Ridge_C3,4.333294242150266
AGC_153,Ridge_C3,4.280333189026584
AGC_154,Ridge_C3,4.833692020627017
AGC_156,Ridge_C3,3.3076753488965895
AGC_158,Ridge_C3,3.9624929103185256
AGC_173,Ridge_C3,2.5102505725516906
AGC_174,Ridge_C3,4.214123544368227
AGC_175,Ridge_C3,4.799532009203495
AGC_177,Ridge_C3,4.1172829632829995
AGC_182,Ridge_C3,4.330956094852198
AGC_183,Ridge_C3,2.574245254299017
AGC_186,Ridge_C3,4.201470403092961
AGC_188,Ridge_C3,4.747214637772389
AGC_190,Ridge_C3,4.2464086324170545
AGC_191,Ridge_C3,5.01378528697796
AGC_192,Ridge_C3,4.7412060088932995
AGC_003,CatBoost_C1,3.5887578680231953
AGC_011,CatBoost_C1,4.481474616171412
AGC_016,CatBoost_C1,4.075514822001825
AGC_025,CatBoost_C1,3.107039638343366
AGC_027,CatBoost_C1,3.12717603949687
AGC_028,CatBoost_C1,4.580674866731392
AGC_029,CatBoost_C1,3.029274255132865
AGC_030,CatBoost_C1,3.355240422172667
AGC_031,CatBoost_C1,4.3967372466480334
AGC_036,CatBoost_C1,4.276096878980085
AGC_039,CatBoost_C1,2.902320383439799
AGC_042,CatBoost_C1,3.0184255780911315
AGC_043,CatBoost_C1,4.464741243682034
AGC_050,CatBoost_C1,3.044196013924227
AGC_052,CatBoost_C1,4.402863837435714
AGC_061,CatBoost_C1,2.873706151043431
AGC_063,CatBoost_C1,4.23825441550301
AGC_065,CatBoost_C1,4.402610423004057
AGC_071,CatBoost_C1,3.045079977261672
AGC_075,CatBoost_C1,3.0211537052135937
AGC_076,CatBoost_C1,4.370066223823731
AGC_082,CatBoost_C1,4.355805372359147
AGC_085,CatBoost_C1,4.094697910770475
AGC_086,CatBoost_C1,3.2045209511579387
AGC_087,CatBoost_C1,2.821107690370168
AGC_088,CatBoost_C1,4.236746020645836
AGC_091,CatBoost_C1,4.598996175914654
AGC_093,CatBoost_C1,3.004829205467157
AGC_094,CatBoost_C1,4.72071122442571
AGC_095,CatBoost_C1,4.445959678429616
AGC_107,CatBoost_C1,4.564006211403292
AGC_113,CatBoost_C1,2.968187945225837
AGC_116,CatBoost_C1,4.578350638563247
AGC_118,CatBoost_C1,3.367761960723145
AGC_120,CatBoost_C1,3.7467172360223095
AGC_126,CatBoost_C1,4.309409312269881
AGC_128,CatBoost_C1,4.399017032361816
AGC_129,CatBoost_C1,3.6427636542350057
AGC_130,CatBoost_C1,4.4218293146926655
AGC_136,CatBoost_C1,4.314989132046564
AGC_142,CatBoost_C1,4.656021367218121
AGC_143,CatBoost_C1,4.167627441381023
AGC_147,CatBoost_C1,3.2805618815719257
AGC_149,CatBoost_C1,4.464911652424089
AGC_153,CatBoost_C1,4.176480577181574
AGC_154,CatBoost_C1,4.488504469046588
AGC_156,CatBoost_C1,3.076889922210755
AGC_158,CatBoost_C1,4.2779032630577225
