holdout_split,selected_method,selection_rmse,holdout_rmse,holdout_mae,holdout_r2
target_matched_01,LocalE13_w0p10,0.4821281459347364,0.5639736747412089,0.3448579583142925,0.527489653976071
target_matched_02,LocalE123_w0p10,0.4906957180317567,0.4359494092366124,0.3344468875265673,0.7114031587459785
target_matched_03,LocalE13_w0p10,0.48474705181437516,0.5246900865466273,0.34897304705051246,0.6128071549683802
target_matched_04,LocalE13_w0p10,0.49368862571209937,0.39056647808076395,0.31994396428549393,0.7570881867922856
target_matched_05,LocalE13_w0p10,0.48711625157565336,0.4891520901274537,0.3198139423525008,0.608808025050438
target_matched_06,LocalE13_w0p10,0.49078159598404836,0.434171924001529,0.3295481968950298,0.7405352533955634
target_matched_07,LocalE13_w0p20,0.4841289704262535,0.5370828082359166,0.3680104081453648,0.6459666577646354
target_matched_08,LocalE13_w0p10,0.49487557145737904,0.3727622919015683,0.2865609732611817,0.7574947540297515
target_matched_09,LocalE13_w0p10,0.48535887356697177,0.515512760257678,0.3275629975342127,0.6015718781947794
target_matched_10,LocalE13_w0p10,0.4822979169229627,0.5614271099178134,0.406016075412404,0.5991308907116919
target_matched_11,LocalE13_w0p20,0.4893472584942119,0.458808487216542,0.27553535095136644,0.6951229847969682
target_matched_12,LocalE13_w0p10,0.47878500503864246,0.614120788182618,0.42481331701793407,0.5687459179499936
target_matched_13,LocalE13_w0p10,0.49486790267700864,0.3728773236071247,0.30026010258135233,0.7936868706370447
target_matched_14,LocalE13_w0p10,0.4900977985287336,0.4444288858312502,0.32912931972117726,0.7587481883216082
target_matched_15,LocalE13_w0p10,0.47353808027922556,0.6928246595738705,0.4441908212726575,0.33575176141642216
target_matched_16,LocalE123_w0p10,0.4931860085646523,0.3985950512431799,0.2955361430387563,0.7654168135648468
